"","asc_smlr","asc_same","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",8167.01421869282,11858.0131125771,16137.8811886995,3690.9813822573,3690.98128032423,3690.99756993642,3690.97174647851,-4279.91154305586,-4279.91011093447,-4279.86159865175,-4279.95886290559
"asc_same",11895.0056826706,16958.2478902881,22862.4040154616,5063.22504642468,5063.21387791437,5063.23784541903,5063.21310467226,-5904.19381461633,-5904.1992519827,-5904.13962182638,-5904.24725206443
"asc_grtr",16116.4084550319,22775.4317706934,30555.9805941947,6659.00734047408,6658.99299187146,6659.01941286599,6658.99253599864,-7780.58764866863,-7780.59330071254,-7780.523752128,-7780.64525821708
"b_City_Midwest_smlr",3691.82208235514,5056.84141894191,6670.48014713191,1365.03589550056,1365.00862052515,1365.0162983334,1365.01738106835,-1613.63166688676,-1613.6398200719,-1613.62870234036,-1613.63906820215
"b_City_Northeast_smlr",3693.98892637581,5059.53596427735,6673.8750078858,1365.54738834813,1365.54708908391,1365.54399964447,1365.54508237934,-1614.33326604598,-1614.33889170579,-1614.3290177649,-1614.3393836348
"b_City_South_smlr",3687.05148114852,5050.89226480626,6663.14997780497,1363.84113411601,1363.83006760957,1363.85096906986,1363.83882814721,-1612.25193542136,-1612.25880487609,-1612.24636790088,-1612.25805299964
"b_City_West_smlr",3697.17214553538,5063.85212027438,6679.59778500318,1366.68032517995,1366.66925866297,1366.67693647912,1366.68542672681,-1615.73988718041,-1615.74675663454,-1615.73563888808,-1615.74535459459
"b_City_Midwest_grtr",-4287.64104654377,-5902.85253154499,-7803.99514412623,-1615.21138727169,-1615.20949080874,-1615.21194440435,-1615.20980823324,1901.15995354928,1901.1439631432,1901.13404446245,1901.14792059237
"b_City_Northeast_grtr",-4273.59070492334,-5885.94529158718,-7783.30318396835,-1612.35577267563,-1612.35134869903,-1612.35504607089,-1612.35290990804,1897.35902818992,1897.37058710348,1897.34932427634,1897.36320035257
"b_City_South_grtr",-4287.03675753659,-5901.77100957841,-7802.53077012332,-1614.735438037,-1614.73225784161,-1614.73339217819,-1614.7325752681,1900.76089637494,1900.76111110873,1900.76303848246,1900.76506855488
"b_City_West_grtr",-4288.76661066175,-5904.3280640711,-7805.61840348768,-1615.56263942224,-1615.55945922811,-1615.56191282283,-1615.55912647058,1901.29147523409,1901.29168996451,1901.28177128162,1901.30142631237
