"","asc_smlr","asc_same","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",1,0.997925133260384,-0.257864261095077,-0.987443585423393,-0.986084095051675,-0.986898180312965,-0.984086807104204,0.966369625503676,0.968324171261904,0.967157347836863,0.965957905996752
"asc_same",1.00215463271876,1,-0.230779196055228,-0.991296629977351,-0.989930781906908,-0.990751693461748,-0.987925919140056,0.960157746805065,0.962099859195202,0.960940545007041,0.959748734341636
"asc_grtr",-0.261385485033567,-0.231131289521932,1,0.934312941614354,0.933084646712208,0.933918405295318,0.931287498010261,-0.503698699038978,-0.504710105006387,-0.504101315069623,-0.503481773812771
"b_City_Midwest_smlr",-0.987045673858307,-0.983879566680393,0.938593569590078,1,0.99853502872014,0.999283503577561,0.996512820324696,-1.15645944561892,-1.15879555761265,-1.15739898978876,-1.15596557825591
"b_City_Northeast_smlr",-0.986003551200573,-0.982733389898759,0.940414172543914,1.00127801257963,1,1.0006745845076,0.997899799147428,-1.15597986504391,-1.15831431458214,-1.15691866760642,-1.1554858508234
"b_City_South_smlr",-0.976692170590879,-0.973071626969892,0.944962211150527,1.00051053410801,0.999158319355589,1,0.997134884837458,-1.1487202189949,-1.15104034573409,-1.14965276264739,-1.14822930683481
"b_City_West_smlr",-0.98220817968698,-0.978691268961998,0.945120463719744,1.00333351781814,1.00197738963639,1.00272927230116,1,-1.1537771160876,-1.15610745792154,-1.15471412974841,-1.1532838656073
"b_City_Midwest_grtr",0.965979187215731,0.955056926349912,-0.499236837662709,-1.15682528075623,-1.15524923862571,-1.15622488717445,-1.15293695793128,1,1.00202033330256,1.00081273161335,0.999573147723475
"b_City_Northeast_grtr",0.962377993221686,0.951224638305596,-0.503940791546013,-1.15870691541671,-1.15712761916871,-1.15810518323865,-1.15481191521643,0.997983442369756,1,0.998794711253239,0.997557626865648
"b_City_South_grtr",0.965061683163688,0.954202467735152,-0.499067274364373,-1.15452661238262,-1.15295337083945,-1.15392663178246,-1.15064565664593,0.999187626450474,1.00120649353349,1,0.998761295627711
"b_City_West_grtr",0.966993422370411,0.956298248955378,-0.496953305904942,-1.15260414931152,-1.15103353047725,-1.15200551896079,-1.14872947707438,1.00042679917508,1.002448168563,1.00124005122769,1
