"","asc_smlr","asc_same","asc_grtr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",1,0.999999999928476,0.999999999868255,-0.000135456227902138,-0.00010253004237951,-0.000181928345768555,-5.31276802869396e-05,-3.89558109444311e-05,-5.66975115040109e-05
"asc_same",0.999999999928476,1,0.999999999928452,-0.000126185450027863,-9.36545317794748e-05,-0.000172019304213987,-5.24012863440206e-05,-3.8235982878815e-05,-5.58844706830499e-05
"asc_grtr",0.999999999868255,0.999999999928452,1,-0.000126919554410758,-9.43573370243365e-05,-0.000172803949352449,-6.15777540082703e-05,-4.73295042548018e-05,-6.61555402188086e-05
"b_City_Northeast_smlr",-0.000135456227902138,-0.000126185450027863,-0.000126919554410758,1,0.575209957066302,0.64219172277713,0.0926927703367405,0.0466510966038697,0.0526920925599347
"b_City_South_smlr",-0.00010253004237951,-9.36545317794748e-05,-9.43573370243365e-05,0.575209957066302,1,0.614811343602935,0.0450694724678343,0.0905628369898967,0.0504455207335179
"b_City_West_smlr",-0.000181928345768555,-0.000172019304213987,-0.000172803949352449,0.64219172277713,0.614811343602935,1,0.0503177020632521,0.0498628781374643,0.0848465828818681
"b_City_Northeast_grtr",-5.31276802869396e-05,-5.24012863440206e-05,-6.15777540082703e-05,0.0926927703367405,0.0450694724678343,0.0503177020632521,1,0.583148993132114,0.658662757413659
"b_City_South_grtr",-3.89558109444311e-05,-3.8235982878815e-05,-4.73295042548018e-05,0.0466510966038697,0.0905628369898967,0.0498628781374643,0.583148993132114,1,0.652709089854651
"b_City_West_grtr",-5.66975115040109e-05,-5.58844706830499e-05,-6.61555402188086e-05,0.0526920925599347,0.0504455207335179,0.0848465828818681,0.658662757413659,0.652709089854651,1
