"asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5206.32363599817
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5206.32363599817
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5206.32363599817
0.0852266667061486,-0.269013333017938,0.013653333298862,0.0242133333813399,0.0227200001245365,0.0209066667594016,0.0324266665847972,0.029226666665636,0.028053333517164,0.0232533333473839,0.0288000001455657,0.0429866669583135,0.0151466668467037,0.0522666666074656,0.0593066666624509,-0.0513066665735096,-0.0503466668305919,-0.0582399999257177,-0.077013333211653,-0.0901333332876675,-0.0792533333878964,-0.0813866665703245,-0.106026666762773,-0.0755199999548495,-0.152213333349209,-0.0750933331437409,-0.192853333137464,-0.0837333331583068,-4903.91786707783
0.00275595342923969,-0.360173221284238,-0.00585255019426677,0.0144777909816101,0.00910451894228374,-0.0197667386908804,0.0104483610626263,0.0229103122855795,0.00278228394295242,-0.0318629953252353,0.0107453818509684,-0.032939845437786,-0.0516983226097805,-0.00778394569710639,0.0694725068660414,-0.0675826660551345,-0.0629844245811898,-0.0774529483007078,-0.0867005425394856,-0.122453151664474,-0.122446035158577,-0.106039724773821,-0.128632134446662,-0.101246384101014,-0.175975968958102,-0.0587449472363166,-0.270635935676267,-0.111132600774497,-4813.56373894268
0.0302448560126458,-0.432269791903514,-0.0142538948220566,0.0538504445982168,0.035113823393248,-0.0403910345190886,0.0449577493311404,0.0748225326673829,0.00422370842868901,-0.0689053411489234,0.0361299216024533,-0.0646128174520163,-0.12898071876495,-0.0116652548937754,0.220960359208266,-0.0730894587929996,-0.0485503099631499,-0.0901001958159207,-0.0176116866273666,-0.158101737515308,-0.23825016931353,-0.106175432548032,-0.0840135865835601,-0.120624605348104,-0.0575707618755321,0.162008681602983,-0.392124615669559,-0.120390922061002,-4752.54186020704
-0.0873331595321892,-0.713917054330124,-0.0466624989000144,0.111443821829114,0.0413014493260122,0.201207132750864,0.0909334236126147,0.0532599767862015,-0.220647310651705,0.0854675331166123,-0.0862153556095076,0.0869097403192829,0.132607865873015,-0.308162596519953,0.223537161104787,-0.0491492431775386,0.0603805830704997,-0.12589706734451,-0.0936356442307751,-0.275572308520476,-0.520714944424678,-0.00842897364587002,-0.0725208773587074,-0.120046353111551,0.202420752322661,0.599207125029473,-0.563390406878105,0.101270088082081,-4729.07782662659
-0.2078288597548,-0.924753964306748,0.0184913260953363,0.135023467489272,-0.0195645076411918,0.285441510653985,0.164407502524028,0.0885475008723137,-0.0748766949779866,-0.0928027258450805,-0.133900468605915,0.118186730364036,0.337667356952557,-0.31896459528845,0.194862323492805,-0.000925078862988662,0.163137531131391,-0.120840786696281,-0.255820878583355,-0.403713119674405,-0.655400915825712,-0.0522515949057491,0.0768997137118033,-0.127091565206851,0.38571139183182,0.721675757261866,-0.528999857740282,0.260265634653818,-4726.17648700939
-0.370291707573964,-1.08949642052151,0.05562017386536,0.158439211047971,-0.0533015457833716,0.214457546405662,0.266535482708966,0.198108983195138,-0.0874581104870857,-0.0787110199479137,-0.119228025861942,0.169536437333159,0.341049957881746,-0.190851976701833,0.172923436944061,0.0992091308575958,0.246541010590845,-0.0987287865541559,-0.393135102348782,-0.567860959335904,-0.76101128576728,0.0216041155114674,0.111435507695197,-0.130928865512931,0.490357629606,0.772178632808347,-0.415350929452783,0.380486413826688,-4719.77931231089
-0.569056257608932,-1.2621235659481,0.0702780475659201,0.183102308798847,-0.0101952914135221,0.325704505569321,0.24767578499053,0.26417419863135,-0.0844521489445941,-0.0662246186604968,-0.0249398202120189,0.213830876721422,0.271696820673159,-0.109694647826916,0.315867749456798,0.245219362378973,0.325974612262895,-0.0510478118725806,-0.624812797525478,-0.708434732174609,-0.863238141506224,0.130822434622964,0.156380376486148,-0.123462978571629,0.582507227838535,0.787379939082904,-0.218927314535415,0.414596304249917,-4716.30440742787
-0.642094793971358,-1.282471289099,0.0928145371255464,0.192801572178174,0.0322875112163504,0.350155169349934,0.272243434661917,0.254404429943676,-0.0546090767810335,-0.0338347056464539,-0.0275903271951069,0.195531627347629,0.283200322208465,-0.0933941779738212,0.35721315056301,0.273399991610899,0.326735016485438,0.0236556583687234,-0.618711591257793,-0.768059569083583,-0.920219325555939,0.166337569453982,0.17859448127688,-0.0626223004830652,0.592071277120668,0.75282566722665,-0.215581071860578,0.398544777411646,-4713.62539660099
-0.699915691379862,-1.28482573949523,0.127880846338017,0.203994163152696,0.0812142957061727,0.380705660308794,0.255224603939837,0.283708013540655,-0.00653337768144967,0.0134668502604324,0.00395042418026561,0.189745337394791,0.253640605231891,-0.0800739489003804,0.312780011176074,0.287084189130634,0.336633326641525,0.0932095321230904,-0.621741252851458,-0.766932330776413,-0.989487393221214,0.176209024184559,0.228087465021385,-0.0430392509151242,0.567945296117398,0.756306351424086,-0.243056035889651,0.388606461886629,-4711.49443729091
-0.7231420908893,-1.27529600499523,0.143683872141756,0.232506804289971,0.113309004384764,0.372462005473017,0.307900468115935,0.281553507617951,0.0225473379974028,0.0475751433895915,0.0447868062493337,0.166708764354137,0.251372169886331,-0.118923213373723,0.300022585705996,0.306285889774368,0.360917410913377,0.11452222316305,-0.627595329775698,-0.764439924062955,-1.01071024725917,0.191063870445027,0.274351966754356,-0.0797950819016697,0.527508086002661,0.767350138378343,-0.246263166251839,0.351137902839195,-4708.98677123165
-0.725140545609774,-1.24809607266854,0.169401067853465,0.28888789287421,0.0949811889910227,0.389422610595174,0.32935055563114,0.303936692878347,0.0335784059100208,0.0674921391984351,-0.000471304474906308,0.0995867686597311,0.246373258302177,-0.105387513474977,0.312221209481623,0.330181023815291,0.40675690489529,0.11913040502063,-0.640683072321441,-0.742981900026347,-1.01049230992236,0.248942645067614,0.310759726744166,-0.120128097645241,0.466305232735458,0.786177333270096,-0.289408303880786,0.304759938226168,-4703.56903456044
-0.697339302114237,-1.21750109867454,0.146655515921891,0.251868172777229,0.132601703420185,0.391489893423186,0.325493599960606,0.360403453915187,0.051300819111448,0.0335136774423099,-0.0340430082573568,0.100003303823763,0.201639093877647,-0.133050573142001,0.342036440079423,0.345672458200333,0.462156378804026,0.071371789500596,-0.575840198948033,-0.773336133852752,-0.987428762242305,0.290728600249477,0.325626272307874,-0.138768592920251,0.407399882308637,0.771541486825763,-0.348119722248595,0.316932358207096,-4694.54513514125
-0.634642844682966,-1.2166914001416,0.100717070649826,0.242836309517263,0.0535938810403788,0.38408507607033,0.324683178554494,0.351433042387695,-0.0155618540695969,-5.19681863744292e-05,0.0375812042322663,0.0981006632007864,0.110907071008241,-0.141044354554245,0.379198632198693,0.29498713215459,0.369648307070698,0.0823697257034367,-0.498387364465453,-0.776616859744689,-0.923249846803934,0.238029815403227,0.349514772780808,-0.132614815566248,0.450930572428727,0.732333080826748,-0.436792364937808,0.344292750765165,-4678.92578751
-0.581603793390375,-1.25800925407725,0.0782442747556187,0.161815794190453,0.105058205067565,0.277232219323284,0.304768511578282,0.360510741088303,-0.0358706325498445,0.00258080970638677,0.023434828230759,0.0497553762551689,0.116220469072894,-0.124170804895214,0.407652498596433,0.2111280524297,0.242756870847476,0.033807706348655,-0.491215265557153,-0.646725644200677,-0.952461897380963,0.143079416628273,0.261061123950285,-0.0642705000249649,0.531047052321931,0.775089595454442,-0.386285828022216,0.266156870618663,-4668.00046231364
-0.580116701354713,-1.26585204765598,0.078812584956666,0.173209379137401,0.102757847904393,0.262978827315517,0.305511009548881,0.246715133062507,0.0316623356641944,-0.0312529380347319,0.0125372231473411,0.0761514361005276,0.0678479032561456,-0.0838691111024238,0.379372278267944,0.163664087635104,0.180030108051668,0.00674920357149299,-0.444178234300942,-0.62830975750208,-0.980871107675229,0.117481310046725,0.112502040813998,-0.0398771900137612,0.521966069361264,0.880136913659455,-0.319171626541472,0.231742772092941,-4665.1767050028
-0.588276735082182,-1.2556605475067,0.0805983058388794,0.198185287422713,0.101844852151386,0.248019367391527,0.257877170396848,0.231674628378669,0.0271624150647678,-0.0413877070784332,0.0423860266276006,0.0677915468771165,0.101588093728459,-0.0651309971672686,0.37837193386756,0.149209026985549,0.194367412065528,-0.000407183563561658,-0.405441236917856,-0.643889269328673,-1.00609146347975,0.104453982488542,0.072143465630791,-0.064773433228073,0.526770269478885,0.887321682882023,-0.300910567279668,0.217155529255195,-4664.51042312903
-0.587875723192932,-1.24350706422245,0.0854948939509437,0.209137759058056,0.108203553677587,0.232916003133531,0.241731302402565,0.211559314761663,0.0165157504849769,-0.0392776017782445,0.0330808270430455,0.0803160125884115,0.0984796659654146,-0.0583842308321622,0.384889448298779,0.142427681846462,0.219423366129289,0.00242215755846197,-0.408338761889926,-0.654505437877126,-1.01411368534862,0.0752511872487943,0.0718850748468296,-0.070424982705265,0.529428614211907,0.887374386577197,-0.301469375025749,0.208186041468234,-4664.06576829098
-0.465456294631202,-1.13852889801576,0.0953963418739913,0.281546180551286,0.174146716014265,0.119876437461638,0.165408193044746,0.128140914907942,-0.00723082361491079,-0.0791722126468755,0.0289233675383707,0.0593804495582207,0.0701933442324458,-0.0905254166285268,0.389308257759076,0.198817506433368,0.293103442490546,0.0784981419901178,-0.525901816870029,-0.716493287103435,-1.09115840160262,0.0201050737934662,-0.0160117431231215,-0.0805616284112808,0.565538796300405,0.865526049995877,-0.370758636816928,0.247368381309916,-4662.69541584655
-0.423589890761527,-1.10810096472674,0.116753317812299,0.260207804306225,0.158061786540927,0.0963780779619316,0.14145808973152,0.11674381152487,-0.0159354435148328,-0.086483760041432,0.0231097183403749,0.0630939453052217,0.0621604957186636,-0.10752900968559,0.385516266195075,0.219176926215014,0.289822598554719,0.094903854327649,-0.548036038257628,-0.755066026264066,-1.12262006265991,0.0207217276934788,-0.0182113081943948,-0.0917762380901113,0.570898158727578,0.868107241409382,-0.381431547169205,0.221440420563178,-4661.66142390566
-0.391101573879617,-1.06898167306178,0.0701266239026593,0.248074551915297,0.153195160614869,0.0815667892493656,0.12239906641958,0.0965254428478402,-0.021106240112828,-0.0884316860186882,0.013823472695511,0.0585585562523092,0.0586117169080802,-0.0968591430191974,0.370644969538909,0.241174898385038,0.260335071472848,0.0748805195764842,-0.57108184969614,-0.800204748497525,-1.16492067213192,0.0277137904572053,0.0158312918897527,-0.101423043441495,0.570448053272206,0.870189156642238,-0.402524913203259,0.191246747435495,-4660.36675862254
-0.340246241047703,-0.9038944073521,0.0103330312744347,0.165563312757166,0.0823881267078062,0.0450239457450496,0.123832400333304,0.056130491081578,-0.00593524941888147,-0.0435521425109225,0.0632527166102134,-0.019254241756355,0.0104582117725611,-0.0810579205227076,0.447204138141736,-0.0340142992011879,0.196686177816682,-0.100846435680004,-0.678024350690135,-0.904710497572987,-1.33455757678725,0.171265763545642,0.176810500091331,-0.0893279902726565,0.489203655361635,0.845656878564735,-0.486297520446495,0.239413120972587,-4658.89700381598
-0.350441215963442,-0.897333597857576,0.00164300537598075,0.202617015567223,0.0672979954952681,0.038103553417465,0.121132832610099,0.10004377894654,0.0150627868902752,-0.0305055318055151,0.0474966857727968,-0.00883560397667658,-0.000768956525888155,-0.109971488740415,0.469656412542692,-0.0623008369971429,0.164632535451084,-0.115659618730757,-0.669285750044783,-0.909317148069473,-1.32984993585665,0.176014766594928,0.192934399736839,-0.0873688910059064,0.475988881077541,0.839936002294842,-0.485534568850861,0.244616721806314,-4658.01495526916
-0.454088432516883,-0.992750296167051,0.0729907577991582,0.216104813537032,0.133540859788418,0.145561326571917,0.206742148754274,0.22641508053529,0.0314426548264601,0.0125364723243476,0.0274446707158546,-0.0695438818048082,-0.0408721320365063,-0.106645260278446,0.486021603421602,-0.0416253169470893,0.127806266103533,-0.142742823994858,-0.529087313930953,-0.848360508126116,-1.10164383612704,0.144857540908396,0.183461925967792,-0.152010891939378,0.525823747237926,0.841570140577865,-0.552692953134579,0.243193595889825,-4655.68954511024
-0.489255892477112,-1.03594671770686,0.0648417913374205,0.206873411613788,0.122295524445529,0.171267163330351,0.249420332530697,0.26521696768457,0.0155441546838929,-0.010191793544359,0.0395948099223177,-0.0589954664503472,-0.0397276425997891,-0.100306933738355,0.502889329346678,-0.0116820828886675,0.150101587736428,-0.118710046127419,-0.473763494593562,-0.776597020307498,-1.0605199633378,0.137920512085683,0.176016549085505,-0.143417286468895,0.505647623498857,0.843377915682153,-0.573710416945035,0.234516147532347,-4654.28372546786
-0.47052989948234,-1.07195364691793,0.058206847936539,0.21373389212257,0.119701266114499,0.190038661003916,0.263353595731918,0.277153833604067,0.0013050885631985,-0.015682050317916,0.0375029747685877,-0.0776467271865036,-0.0530146477785825,-0.104204028502818,0.492948954793081,-0.00758822888526901,0.17184467296814,-0.108285581583178,-0.441810434315904,-0.762015184137952,-1.05696082756772,0.131158953017074,0.18307147569766,-0.128439596707685,0.495822524160374,0.839450458010959,-0.553444312974055,0.233001578452439,-4653.90112258041
-0.455552563840716,-1.12049553426195,0.0540927966775264,0.216343358689647,0.129671979547294,0.164723407352619,0.238827904330505,0.256241346164348,0.00366834231732227,-0.0196418508420624,0.0324456493911029,-0.06693806287488,-0.0506155229815898,-0.1035014998619,0.487425237748331,-0.00838026060494898,0.180010676614564,-0.0829393740728201,-0.425692074455012,-0.747975446541237,-1.03267639823733,0.165304069887878,0.207138075118065,-0.12990543390389,0.494149575809484,0.84499920055031,-0.548659907863463,0.228649841897554,-4653.65542844656
