"asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5206.32363599817
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5206.32363599817
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5206.32363599817
0.0852266667061486,-0.269013333017938,-0.0300534706912004,0.0260012299986556,0.00933984032599256,0.0229057262185961,-0.0496748689329252,-0.0100180486333557,-0.0440491759218276,-0.0881483935518191,0.0660597294336185,0.066573720832821,0.0227200001245365,0.0242133333813399,0.0246399999014102,0.0209066667594016,0.0324266665847972,0.029226666665636,0.028053333517164,0.0232533333473839,0.0288000001455657,0.0429866669583135,0.0151466668467037,0.0522666666074656,0.0593066666624509,0.0802806139108725,0.0881572387879715,0.0264472007984296,0.0428290315903723,-0.00308174290694296,0.0392416017712094,0.0755046849371866,0.13858337450074,-0.0191572678158991,0.0741969502996654,-0.0582399999257177,-0.0503466668305919,-0.109119999979157,-0.077013333211653,-0.0901333332876675,-0.0792533333878964,-0.0813866665703245,-0.106026666762773,-0.0755199999548495,-0.152213333349209,-0.0750933331437409,-0.192853333137464,-0.0837333331583068,-4708.65259368006
-0.0128198639156489,-0.358216063206045,-0.012398501829408,0.0555025288656794,-0.0079475667613162,0.0450545891769739,-0.141997219796311,0.0200328968811608,-0.0372467233753276,-0.113270813470735,0.0984562703459318,0.132522030835059,0.00904911131972617,0.0120208728907582,-0.0271824623174036,-0.0171841965590697,0.00402390491810602,0.00853795859549635,-0.000549595042512348,-0.0442100770857211,0.00806005788847235,-0.0436993153162241,-0.0496586198049706,-0.029056805595865,0.0688947820005367,0.11481436245419,0.177842915357295,0.08042039439613,0.0827255132381523,0.0415767071988414,0.0388073994364278,0.10915831874434,0.225179712530593,-0.0314184855515289,0.126619398013897,-0.0819614867476306,-0.0631799438538776,-0.143639355474933,-0.0950113147046833,-0.120184181272301,-0.110501505288842,-0.107566523222476,-0.123526056548306,-0.103213516363109,-0.174991808794334,-0.0658431412859804,-0.254944706791396,-0.114727523251665,-4555.74582036149
-0.0203745648710296,-0.396630980651545,0.00494985480453422,0.111396699619562,0.0198653696726881,0.0754074481368387,-0.133427524962221,0.0389846075839625,-0.0101982801550013,-0.0882704519729158,0.0829717177203499,0.158474258799629,0.00914367811431926,0.0167157644250922,-0.0366078359505291,-0.0201759705263894,0.00617008044792687,0.00567740558757796,-0.00276502364322527,-0.0604176851363505,0.00348409672845574,-0.0605976001078671,-0.0588384272612084,-0.042834666136876,0.0927933265214633,0.0979135858125459,0.191259314981368,0.0966378133436665,0.0755160575526764,0.0525691563019113,0.00441555761446599,0.0882302424231597,0.214596910009562,-0.033707762428818,0.129651532774591,-0.0948282402337176,-0.0663614845655903,-0.157619389558698,-0.104725567569622,-0.133262540630804,-0.119654829209268,-0.119291519667617,-0.123088678593913,-0.113155892367578,-0.171311681919556,-0.0512212074871864,-0.272686460768053,-0.127883291789809,-4533.91057935126
-0.0197604809436118,-0.414910087824042,-0.00607164063728076,0.136020512965697,0.0501303481186599,0.0773515886224659,-0.10416725111159,0.0236452571400472,-0.00925237200480696,-0.0968665719120948,0.0604797935942283,0.160260823139815,0.00895165353739524,0.0243125150716275,-0.0426154959360386,-0.0257373927601581,0.013456762543527,0.0114910572010252,-0.004835981690426,-0.0719106644062311,-0.00275411355900339,-0.0735039535758004,-0.06737028928633,-0.0446744370496066,0.118865397127799,0.0942980977234326,0.223296632535844,0.112433993061472,0.0809518957634082,0.0596682960679885,-0.0126729432931524,0.0795800135239088,0.222904828465242,-0.038146438327922,0.136351609813935,-0.103512249332459,-0.0646143498532661,-0.163179123553487,-0.104283667049381,-0.140858796741423,-0.127237105237393,-0.123432577286994,-0.112673901834128,-0.115158826339067,-0.147897391607138,-0.0193563680170325,-0.27920713110174,-0.131787254733141,-4519.7513031171
0.0255646624496131,-0.493355487276107,0.0307169558381998,0.135115309645522,0.0121110994882071,0.0531052592510949,-0.137156509129336,0.00348085685118784,0.00869632543130126,-0.115496139370102,0.0378022441457492,0.111377651354335,0.0254517587986519,0.0626267801387468,-0.0499005723831912,-0.0301601098124289,0.0577012389972487,0.05359238405798,-0.0157497888039217,-0.100002031682306,-0.00254969221887428,-0.0843043982561601,-0.0855902152272712,-0.043796154824844,0.241967319218201,0.0505010375790865,0.304550873601607,0.145709723142459,0.0636505321293342,0.0873201519785005,-0.0540065244625127,0.0325039881087527,0.216688574361024,-0.0787922723722756,0.12486803665766,-0.14404607450765,-0.0547114898254825,-0.183432144351786,-0.107575445476544,-0.176615395561824,-0.158571356848599,-0.132315054186789,-0.0800113666648991,-0.116237004722991,-0.0452680058610761,0.118103075769551,-0.291706036486066,-0.129615179906501,-4511.60035521481
0.0306639250583935,-0.599561823700616,0.0522179142222434,0.138553077909753,-0.00737329517726904,0.0299010672237795,-0.124200925501901,-0.0378765640610976,-0.00600783089513062,-0.13292684227654,0.0828723822057053,0.132013516551247,0.0286898470395119,0.0971291406268024,-0.0717540879824851,-0.038810252118384,0.092938938661754,0.0958844844605212,-0.0565467690540778,-0.136233620362861,-0.0245327270572274,-0.110074192680829,-0.111215021678991,-0.0728744021384051,0.350750732915077,0.0307319421982457,0.314938604236943,0.0897467499283428,0.0079069647274252,0.0407433031149366,-0.0344156308572532,0.00425202992798253,0.195422301492044,-0.117171008187607,0.0666965608306664,-0.19188001389472,-0.0446753156425917,-0.209554316165658,-0.124522977520288,-0.226431863086498,-0.197862203232784,-0.137641127637829,-0.0651723061667265,-0.103703701050753,0.0695435623750999,0.266100436424678,-0.306761590899397,-0.102082653153201,-4503.11766363847
0.0289108046497625,-0.70863163439676,0.0627191812264926,0.160030523137237,-0.0286575374843771,0.0297366112760646,-0.121974175432171,-0.0331634280965414,-0.0144946027793536,-0.109033223376474,0.0635514515797222,0.0905995678784223,0.0241335668223225,0.124997669827449,-0.0854153867339383,-0.0222915884868994,0.119347307619557,0.127862166183217,-0.107698987039919,-0.164854508866946,-0.0476723596876248,-0.119111553206498,-0.107761664566244,-0.106875608543393,0.426991934991343,0.0501668670515547,0.302667607366019,0.0219764550376409,-0.028608015650187,0.0115179529921662,0.024930387691574,0.0142192786815236,0.188551183115777,-0.0640806236215851,0.0931993308004082,-0.23686123383201,-0.0347260775109414,-0.232256351970303,-0.154826443672219,-0.275957066856213,-0.234714359679378,-0.134235511279305,-0.0588544726454181,-0.084886296864168,0.185688866822789,0.395322058862554,-0.312190272232765,-0.0491747034075213,-4496.71023867192
