"","Mean for City if chosen","Mean for City if not chosen","t-test for difference","Mean for Age if chosen","Mean for Age if not chosen","t-test for difference","Mean for Inc if chosen","Mean for Inc if not chosen","t-test for difference","Mean for Vpp if chosen","Mean for Vpp if not chosen","t-test for difference","Mean for Edc if chosen","Mean for Edc if not chosen","t-test for difference","Mean for Gen if chosen","Mean for Gen if not chosen","t-test for difference","Mean for Ngh if chosen","Mean for Ngh if not chosen","t-test for difference","Mean for Rac if chosen","Mean for Rac if not chosen","t-test for difference","Mean for FA1A if chosen","Mean for FA1A if not chosen","t-test for difference","Mean for FA2A if chosen","Mean for FA2A if not chosen","t-test for difference","Mean for FA3A if chosen","Mean for FA3A if not chosen","t-test for difference","Mean for FA4A if chosen","Mean for FA4A if not chosen","t-test for difference","Mean for FA5A if chosen","Mean for FA5A if not chosen","t-test for difference","Mean for FA6A if chosen","Mean for FA6A if not chosen","t-test for difference","Mean for FA1H if chosen","Mean for FA1H if not chosen","t-test for difference","Mean for FA2H if chosen","Mean for FA2H if not chosen","t-test for difference","Mean for FA3H if chosen","Mean for FA3H if not chosen","t-test for difference","Mean for FA4H if chosen","Mean for FA4H if not chosen","t-test for difference"
"smlr",2.2698,2.1984,-2.03,2.7015,2.6094,-3.3,2.117,2.1839,2.75,1.2806,1.2648,-1.19,1.6203,1.6523,2.23,1.4057,1.4687,4.28,1.6186,1.6201,0.1,1.3629,1.271,-6.61,-0.011,0.0834,2.93,0.2257,0.2038,-0.67,0.0995,0.0967,-0.1,0.1647,0.136,-0.9,0.0476,0.2217,4.78,0.0833,0.1388,1.56,0.0015,0.1447,4.51,-0.0235,0.2556,8.41,0.0761,-0.1169,-5.69,0.0906,-0.1001,-5.08
"same",2.1843,2.2611,2.23,2.6732,2.6221,-1.87,2.1667,2.1505,-0.68,1.2665,1.2747,0.63,1.6277,1.6499,1.59,1.4127,1.4704,3.99,1.6583,1.5872,-5.05,1.2604,1.3455,6.39,-0.0387,0.1177,4.93,-0.0099,0.3975,12.85,0.0198,0.1628,5.02,0.0126,0.2593,7.87,0.1894,0.1243,-1.8,0.0435,0.1785,3.86,0.0196,0.1467,4.18,0.0346,0.2405,6.29,-0.0986,0.0057,3.15,-0.2231,0.1387,9.88
"grtr",2.2395,2.2237,-0.34,2.4235,2.6862,7.38,2.2341,2.1437,-2.83,1.2598,1.273,0.75,1.724,1.6242,-5.49,1.6319,1.4095,-11.48,1.5088,1.64,6.59,1.3018,1.3077,0.33,0.4392,-0.0259,-10.05,0.8267,0.0988,-16.62,0.3208,0.0566,-7.65,0.4957,0.0828,-9.93,0.3159,0.1239,-4.25,0.4164,0.0619,-6.96,0.5094,0.0113,-12.51,0.9,0.0077,-16.9,-0.1702,-0.018,3.46,0.2586,-0.0783,-6.56
