"coefficient","model_biz_car_estimate","model_biz_car_pValue","model_biz_air_estimate","model_biz_air_pValue","model_biz_oth_estimate","model_biz_oth_pValue","model_rec_car_estimate","model_rec_car_pValue","model_rec_air_estimate","model_rec_air_pValue","model_rec_oth_estimate","model_rec_oth_pValue"
"I09_USD6","-2.316587e-01"," 2.203648e-01"," 3.354263e-01"," 1.165802e-01","-2.999272e-01"," 5.161944e-01","-9.150189e-02"," 3.968008e-01"," 2.606894e-01"," 4.869729e-03","-6.519433e-01"," 4.616114e-03"
"D09_1"," 2.387041e-03"," 9.302580e-01","-3.655838e-02"," 1.060505e-01","-8.608731e-02"," 6.774791e-02"," 5.431085e-03"," 7.344516e-01","-4.437372e-02"," 5.586238e-04"," 1.752399e-02"," 6.077888e-01"
"H03_1"," 4.511401e-02"," 2.886741e-01"," 2.706151e-02"," 4.342795e-01","-3.822559e-02"," 6.043745e-01"," 5.626442e-02"," 1.992889e-02"," 2.446431e-02"," 1.926107e-01","-3.579231e-02"," 4.339980e-01"
"FA1A","-2.431942e-02"," 5.414932e-01"," 7.001465e-02"," 2.205994e-02","-1.796401e-02"," 8.195999e-01","-4.280830e-03"," 8.498454e-01"," 4.107179e-02"," 1.554472e-02"," 3.574363e-02"," 4.593122e-01"
"FA2A"," 4.249222e-02"," 4.175454e-01"," 3.302969e-02"," 3.973676e-01"," 1.478874e-02"," 8.728422e-01"," 1.191565e-01"," 2.485236e-05","-5.764388e-02"," 6.299243e-03","-2.212821e-01"," 3.718055e-05"
"FA3A","-1.148739e-01"," 9.067835e-03"," 4.064532e-02"," 2.404465e-01"," 6.362522e-02"," 4.928132e-01","-1.810070e-03"," 9.391829e-01"," 8.909988e-02"," 1.368443e-06"," 4.792078e-02"," 3.674305e-01"
"FA4A","-3.198310e-02"," 4.331961e-01"," 3.447672e-02"," 3.091691e-01","-1.993404e-01"," 1.401321e-02","-2.210256e-02"," 3.456066e-01"," 3.207848e-02"," 8.934741e-02"," 2.496455e-02"," 6.388805e-01"
"FA5A"," 4.331037e-03"," 9.034951e-01","-3.909611e-02"," 1.475328e-01","-1.633114e-01"," 2.010778e-02"," 2.721243e-02"," 1.574410e-01","-1.391240e-02"," 3.501869e-01","-9.055482e-02"," 3.798355e-02"
"FA6A"," 3.150599e-02"," 4.091917e-01","-6.545805e-02"," 2.981389e-02"," 1.525452e-01"," 5.602857e-02"," 8.500458e-02"," 7.715266e-05","-4.929730e-02"," 3.518462e-03"," 4.505116e-02"," 3.387969e-01"
"FA1H","-1.092649e-01"," 1.105468e-02","-1.955537e-02"," 5.627870e-01"," 2.837982e-02"," 7.535870e-01","-7.863074e-02"," 6.904057e-04","-1.985454e-02"," 2.745649e-01","-3.050345e-02"," 5.806302e-01"
"FA2H"," 4.788737e-02"," 2.792086e-01"," 2.373910e-02"," 4.884682e-01"," 4.908238e-03"," 9.574426e-01"," 6.211772e-02"," 1.530186e-02"," 2.396808e-02"," 2.209099e-01","-6.926953e-03"," 9.016477e-01"
"FA3H"," 4.593005e-02"," 1.814019e-01","-1.635310e-02"," 5.525213e-01","-2.016699e-01"," 7.745486e-03"," 8.821053e-04"," 9.635508e-01","-5.459165e-02"," 2.789265e-04","-2.422089e-01"," 3.467674e-08"
"FA4H"," 1.222312e-01"," 7.475148e-05","-4.800934e-02"," 5.291880e-02"," 1.571173e-01"," 2.185519e-02"," 1.253381e-02"," 4.690311e-01"," 2.827720e-03"," 8.335905e-01"," 2.275216e-01"," 7.217274e-09"
