"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_smlr",-0.715531152749705,3521.61327283118,-0.000203182773721902,90.3715343384897,-0.00791766077656332
"asc_same",1.36304360996856,4764.74067165584,0.00028606879238506,130.2238376423,0.010466928594998
"asc_grtr",-0.647513435495632,5929.1189172018,-0.000109209048517654,174.802690466122,-0.00370425325702367
"b_City_Midwest_smlr",-0.374708920550314,NA,NA,36.9463921851723,-0.0101419624052141
"b_City_Northeast_smlr",0.0429608466862896,NA,NA,36.9533095822811,0.00116257101655894
"b_City_South_smlr",-0.121277922254873,NA,NA,36.9303529507892,-0.00328396325961138
"b_City_West_smlr",-0.26250426116306,NA,NA,36.9687087511426,-0.00710071490270664
"b_City_Midwest_grtr",-0.442615181145431,366.6869083433,-0.00120706567666999,43.6022929849943,-0.01015119047289
"b_City_Northeast_grtr",-0.0838852425114414,366.686899502673,-0.000228765310746614,43.5588175586009,-0.00192579246207931
"b_City_South_grtr",-0.0662734189507531,366.68687830444,-0.00018073572541565,43.5977412084899,-0.00152011129736803
"b_City_West_grtr",-0.0547417563623382,366.686890821163,-0.000149287464953407,43.6039152635674,-0.00125543213336342
