"","asc_smlr","asc_same","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",1,1.00760376295835,1.02156674079777,1.10544760414943,1.1052406416857,1.10593256179106,1.1047774044246,-1.08616000868487,-1.08724372548698,-1.08626073182134,-1.08613160665818
"asc_same",1.01074711020158,1,1.00434585770751,1.05236090409183,1.05216158873129,1.05282061667006,1.05172315438196,-1.03982627426359,-1.04086506840877,-1.03992529099266,-1.03979699851766
"asc_grtr",1.02020746504822,1.0005251652856,1,1.03107283494549,1.03087760412874,1.03152251063236,1.03044812561121,-1.02083360406699,-1.02185322563967,-1.02093179886037,-1.02080318231538
"b_City_Midwest_smlr",1.10569939352812,1.05103410547483,1.03284927078354,1,0.999792829700874,1.00041994758974,0.999382783904338,-1.00166625556017,-1.00267107033939,-1.00176899303399,-1.00163358289992
"b_City_Northeast_smlr",1.10614126198137,1.05139729957645,1.03318148656745,1.00018744714006,1,1.00061935578193,0.999581985057948,-1.00191418881532,-1.00291767986458,-1.00201615570306,-1.00188070937279
"b_City_South_smlr",1.10475019631951,1.050253547496,1.0321623602036,0.999558670163088,0.999363450758685,1,0.998953586599809,-1.00124444553599,-1.00224804349206,-1.00134552149808,-1.00121099336471
"b_City_West_smlr",1.10663330071613,1.05185588975985,1.03363669206472,1.00060029053742,1.00040488455475,1.00103237951786,1,-1.00236948224598,-1.00337419865399,-1.00247149775957,-1.00233558094378
"b_City_Midwest_grtr",-1.08812160940748,-1.03959005210988,-1.02390472915794,-1.00264687129502,-1.00245800590741,-1.00308267719684,-1.00204063292806,1,1.00098966628718,1.00009077448818,0.999956466081125
"b_City_Northeast_grtr",-1.08563837996422,-1.0376470351201,-1.02220912432747,-1.00187319886821,-1.00168290689887,-1.00230787107613,-1.00126662936717,0.998996823635993,1,0.999096013018289,0.998961852719802
"b_City_South_grtr",-1.08808184055618,-1.03950809561129,-1.02381947907127,-1.00245607396084,-1.00226644735182,-1.00289018034894,-1.00184915418722,0.999894480091729,1.0008925733975,1,0.999859473826282
"b_City_West_grtr",-1.08836676207155,-1.03981123032036,-1.02407960288444,-1.00282760055301,-1.00263790467713,-1.00326268773793,-1.00222005341073,1.00003197224804,1.00103020276496,1.00013127496837,1
