"","asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",0.0187708599799498,0.00807824548215916,-0.0026117371232547,-0.00207513755002781,-0.00225368614798622,-0.0107935317200327,-0.0104661108080363,-0.0104998481780612,-0.00275847540517797,-0.00272524299423783,-0.00252083763126194,-0.000421437022464881,-0.00126539479845937,-0.00365076694255645,-0.00320889779174877,-0.000926176753112283,-0.000571300154517828,-0.000804758277393485,-0.00474174162911938,-0.00447630246480265,-0.00454877707844314,-0.00138448270572939,-0.00143042365571294,-0.00114160516321608,-3.34348739931653e-05,-0.000526481851171348,-0.00179739299011932,-0.00122525272286996
"asc_grtr",0.0080782454821592,0.0314574092310956,-0.000957483643036754,-0.000644857961447993,-0.000862790413129007,-0.00458934678282489,-0.00432034419672214,-0.00438203344783868,-0.00140021519945988,-0.001414183353732,-0.00114406135488195,-0.000115048912301813,-0.00060117170598667,-0.00175335330229117,-0.00127090772211956,-0.0038121522621695,-0.00349303001345004,-0.00364869704459551,-0.015426649408363,-0.0150445508070038,-0.0149698846317468,-0.00677970143040345,-0.00596895894672583,-0.00382469026359426,-0.0018899334381073,-0.00427075894599187,-0.00533677334205262,-0.00437040704754065
"b_City_Midwest_smlr",-0.0026117371232547,-0.000957483643036757,0.00792496012819686,0.00260028074595741,0.00249738349180965,5.04300320087069e-06,-3.14583621263126e-06,-1.39935659911902e-05,8.68485896629695e-05,0.000323460441127279,0.000222240368893385,1.99299078354451e-05,-2.09462155977132e-06,-0.000349852146007398,9.46679550524004e-05,0.00353255505961546,0.00110685442569135,0.00108490361668775,-6.02632939480057e-05,-0.000117489873947917,-0.000132040846040923,3.90560515992201e-05,0.00018854738201174,3.18175068633955e-05,-3.82152415443379e-05,-2.45698215313698e-05,-0.000218622180333247,4.19507395863452e-05
"b_City_South_smlr",-0.00207513755002781,-0.000644857961447986,0.00260028074595741,0.00780208904268902,0.00255876487158533,-1.4406289160578e-05,-8.36114711221634e-05,-0.000119485629864031,-6.6358735762695e-05,-3.11693866587151e-05,7.52705607090914e-05,-0.000174000041485722,-1.29719817786657e-05,-0.000367655019457722,-0.000297105605152473,0.00110566077011962,0.00365426942790067,0.00112373371858988,-0.000275794314424369,-0.000272178119456198,-0.000316008572918905,-5.90961439645628e-05,-0.000198722171467561,-6.05460778603824e-05,-2.80020907626226e-05,5.74589246326873e-05,-0.000106812264361741,-0.000141618376298643
"b_City_Northeast_smlr",-0.00225368614798623,-0.000862790413129008,0.00249738349180965,0.00255876487158533,0.00746427231001564,-4.69196785955091e-05,-0.00010743402825995,-0.000357168264580584,-0.000140963212668377,-0.000217432244041124,-0.000429164000059776,-0.000268338036096909,-0.000106791825192002,0.000523413875111641,-0.000232676600094357,0.001082292201876,0.00111663602051521,0.0035046035241604,-0.000107095943317602,-0.000233049850390039,-0.000330985718269491,-6.44270956985781e-05,-5.22359089827461e-05,-0.000267719782828406,-9.3732542359558e-05,-1.11420325624951e-05,0.000162518819372529,-9.73692543944794e-05
"b_Age_Millenials_smlr",-0.0107935317200327,-0.00458934678282489,5.04300320086402e-06,-1.44062891605807e-05,-4.69196785955112e-05,0.014724487910333,0.0118235611847628,0.0116267442037418,-0.000599634895338564,-0.000180072159897117,0.000714006101600438,-0.00195371623406032,-0.00069758111454189,0.000813343706134765,0.000730266037494894,-9.51885296634676e-05,-0.000365195455094369,-0.00013804686205035,0.00677359218295758,0.00544506736613675,0.00529012757350796,-0.000335446957106593,-0.000116866931840422,0.000331930517377889,-0.00110874010640904,-0.000381281147278752,0.000554418694862377,2.96786294966583e-05
"b_Age_GenX_smlr",-0.0104661108080363,-0.00432034419672215,-3.14583621263221e-06,-8.36114711221615e-05,-0.000107434028259949,0.0118235611847628,0.0151878735805181,0.0118417609141881,-0.000758520856677439,-0.00100120183601801,0.000745890060365709,-0.00179906108217881,-0.000774022080118405,0.000582773989801564,0.000828486224545153,-0.000161663900742377,-0.000376008065382321,-0.000281124642914028,0.00544501704436481,0.00697546429410651,0.00537500801230242,-0.00034711073479591,-0.00033655259683505,0.000331052347749909,-0.00111868056362812,-0.000461433642537977,0.000344396037735974,4.5937306398247e-05
"b_Age_Older_smlr",-0.0104998481780612,-0.0043820334478387,-1.39935659911963e-05,-0.000119485629864033,-0.000357168264580586,0.0116267442037418,0.011841760914188,0.0161405462354979,-0.000390077214808641,-0.000644473069416016,0.000799743472178758,-0.00159407681056077,-0.000573146295471302,6.01030043958921e-06,0.00117938930784538,-0.000169039162367589,-0.000419074355512677,-0.000373767796567618,0.00529746317146378,0.00537919083019393,0.00731013292391155,-0.000183598460939862,-0.000164601536218571,0.000390428790167114,-0.000979015160705855,-0.000330330854199234,0.000149733245200367,0.000220696363250779
"b_Inc_Mid_smlr",-0.00275847540517795,-0.00140021519945987,8.68485896629682e-05,-6.63587357626976e-05,-0.00014096321266838,-0.000599634895338571,-0.000758520856677448,-0.000390077214808649,0.00739500701388073,0.00442539071241174,0.000293639062504172,-0.00116384359558679,-0.000128430477805292,-0.000272091671037073,0.000240112771156273,4.0592177266334e-05,-3.87293524065313e-05,-5.73297066412626e-05,-0.000302945454817995,-0.000332965452747902,-0.000174661343064827,0.00360205022039813,0.00222099783841716,0.000250042398254498,-0.000585150006870546,-0.000101956216073622,-0.000143423071388051,0.000196209583139689
"b_Inc_High_smlr",-0.00272524299423782,-0.00141418335373199,0.000323460441127278,-3.11693866587155e-05,-0.000217432244041125,-0.000180072159897115,-0.00100120183601801,-0.000644473069416015,0.00442539071241174,0.00763476558309181,0.000286888643151998,-0.00211710094729345,-0.000173518687105621,-0.000452397922019774,0.00104550460155933,0.000196305933762523,-0.000172953060877357,-4.17322464742642e-05,-9.24275849156109e-05,-0.000337009878886686,-0.000157177249032694,0.00222500644931397,0.00367647154138914,0.000232499310111768,-0.00107554123308872,-0.000153272391590699,-0.000233021163429411,0.000680058452252577
