"","asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",0.0541603355000956,0.00513375804425274,-0.00704021784588631,-0.00606829761926065,-0.00619041587512739,-0.0295862165770974,-0.0287771112988792,-0.0288898947116217,-0.00901210645061321,-0.008104157057199,-0.00643790404452107,-0.00343872191646578,-0.00495624058576602,-0.00872776077372049,-0.00784728136412239,-0.000718637061231619,-0.00055063631746468,-0.000597193831744769,-0.00304844112598218,-0.00295157735820169,-0.00295173761317712,-0.00082869724646519,-0.000828158902773516,-0.000718522020866747,-3.20583168035738e-05,-0.000216183872377534,-0.00106386932310119,-0.000881963489783668
"asc_grtr",0.00513375804425274,0.0362542596306359,-0.000679300720880099,-0.000581482893837739,-0.000618573985708465,-0.00292191826204468,-0.00280003671411153,-0.00276736635095204,-0.000876251474877055,-0.000824292074277533,-0.000699985568683285,-0.000130761585501326,-0.000397417560472926,-0.000967818216318299,-0.000869183254585521,-0.00569546114802279,-0.00485736782575781,-0.00493035086255048,-0.0154829165991011,-0.0146611032098284,-0.0148801452714398,-0.00838381094175873,-0.00795986627884032,-0.00565213536976653,-0.00179745399478722,-0.00563808609530808,-0.00698854345496583,-0.00695729619332992
"b_City_Midwest_smlr",-0.00704021784588631,-0.000679300720880099,0.0240650307554818,0.00753575245686192,0.00730204983815331,-0.000601078255226379,-0.000483785365300387,-0.000430088944227059,0.000227013693784642,0.00110580432578656,0.000235921154718525,4.02550886130715e-05,-0.000125825084436205,-0.00112967210860989,0.000316038742233798,0.00230864645609729,0.000771616341083377,0.000751760349082391,-5.15864863891042e-05,-4.70592331017897e-05,-3.18009170797453e-05,-1.72768302110181e-06,0.00010831841300161,2.96932476173953e-05,-2.89554881111135e-05,-4.76139999081752e-05,-9.76187005364459e-05,3.97856418455951e-05
"b_City_South_smlr",-0.00606829761926065,-0.000581482893837739,0.00753575245686192,0.0209944893612172,0.00746038291108895,-3.32067815482381e-05,-0.0001534425668152,-0.000253385888076554,-7.85394138416523e-05,-0.000208762537599598,8.65327069554965e-06,-0.000580780955317257,-0.000141069125607403,-0.000899513116779885,-0.000639325963969942,0.000769233928534585,0.00232672316279873,0.000771562965256951,-2.71127841858987e-05,-4.16552663789569e-05,-5.83195742156346e-05,-2.9436901939399e-05,-1.09824914507689e-05,-1.3599700596701e-05,-6.00377412905808e-05,-1.52935717159053e-05,-9.49408499561536e-05,-9.38653230281398e-05
"b_City_Northeast_smlr",-0.00619041587512739,-0.000618573985708465,0.00730204983815331,0.00746038291108895,0.0188070483709647,-0.00048105452133585,-0.000635060723411854,-0.00139471154416398,-0.00052786928338454,-0.00060693563500151,-0.00138811601775106,-0.000392091875942619,-0.000132385341500049,0.00122196390598173,-0.000762326713669032,0.000745377595916965,0.000766197310956188,0.00227053711824301,-4.78865967938563e-05,-6.15771701407337e-05,-0.000152081067687944,-5.70359343374187e-05,-7.35228701151426e-05,-0.000157370800675377,-5.72619056858937e-05,-3.22875182497638e-05,0.000140631913556335,-8.90401058497831e-05
"b_Age_Millenials_smlr",-0.0295862165770974,-0.00292191826204468,-0.000601078255226379,-3.32067815482381e-05,-0.00048105452133585,0.0413774154412142,0.0342333248498682,0.0338137032590075,-0.00112304265323324,-0.000560738892751995,0.00163176590166171,-0.00608288872364949,-0.00149351148628444,0.00175347029581988,0.00137785225269407,-4.626852546373e-05,-5.80090292124263e-05,-8.45274566921093e-05,0.00423986714943884,0.00339327908538074,0.00334474055486796,-0.000150712481772268,4.30034935487844e-07,0.000197469064176662,-0.000716877166981057,-0.000254793360528018,0.00024997843808866,0.000176103943205955
"b_Age_GenX_smlr",-0.0287771112988792,-0.00280003671411153,-0.000483785365300387,-0.0001534425668152,-0.000635060723411854,0.0342333248498682,0.0431528134009683,0.0343531483829844,-0.00133404045077388,-0.00260352813603121,0.00170443777395584,-0.00563165381902026,-0.00175809406445687,0.00111704178711433,0.00162513406588327,-4.19956731555173e-05,-8.2621325869161e-05,-0.000119285027501721,0.00341627012499636,0.0044094273801212,0.00341625814004422,-0.000188667985739651,-0.000224122546395088,0.000212592288796382,-0.000708678084950529,-0.000315955977208897,0.000197757869513024,0.000196024690378084
"b_Age_Older_smlr",-0.0288898947116217,-0.00276736635095204,-0.000430088944227059,-0.000253385888076554,-0.00139471154416398,0.0338137032590075,0.0343531483829844,0.0482862816739922,-0.000442165849383898,-0.00160084707536786,0.00178104693744939,-0.00522861154082305,-0.00143921411015819,-0.000465949903988373,0.00262280776748541,-2.53290561646296e-05,-0.000111415810834351,-0.000244939034938537,0.00341039555533949,0.00346566964958487,0.00472057754559268,-9.97084555498333e-05,-0.000121435346198967,0.000221123287191616,-0.000713734556772773,-0.000335673397609288,6.09398748147795e-05,0.000312550993648491
"b_Inc_Mid_smlr",-0.00901210645061321,-0.000876251474877055,0.000227013693784642,-7.85394138416523e-05,-0.00052786928338454,-0.00112304265323324,-0.00133404045077388,-0.000442165849383898,0.0217560673500466,0.0137480096306612,0.000733323761226367,-0.00392515508033419,-0.00036303197367613,-0.000462083868002339,0.000658756079832862,-9.96021480510744e-06,-2.20817102303758e-05,-2.8448898619257e-05,-0.00014285216758473,-0.000184298362957096,-0.000112131149446898,0.00221309796840585,0.00128214824435608,7.69892782603714e-05,-0.000309109317049985,1.33979931262654e-05,-8.38726163163875e-05,4.40585334779433e-05
"b_Inc_High_smlr",-0.008104157057199,-0.000824292074277533,0.00110580432578656,-0.000208762537599598,-0.00060693563500151,-0.000560738892751995,-0.00260352813603121,-0.00160084707536786,0.0137480096306612,0.0217175199666704,0.000796846904504203,-0.00631605022316032,-0.000709207570987669,-0.000938183134806161,0.00256246883870966,0.000103018058183806,-1.33708981081543e-05,-7.18264657928619e-05,-2.69904694874965e-05,-0.000254722550568403,-0.000157639673386724,0.00131082516631403,0.00225011977157495,8.80793449876477e-05,-0.000647164961386327,-5.73047700577714e-05,-0.00013533242300625,0.000280134773081388
"b_Vpp_Sufficient_smlr",-0.00643790404452107,-0.000699985568683285,0.000235921154718525,8.65327069554965e-06,-0.00138811601775106,0.00163176590166171,0.00170443777395584,0.00178104693744939,0.000733323761226367,0.000796846904504203,0.0142858596396454,-4.64147437568267e-05,0.00022189812347027,0.00136198959044541,-0.000700200476285187,3.11775333367156e-05,-1.53053303617022e-05,-0.000170224040493193,0.000192992434470067,0.000210164854471923,0.000227063897874425,7.33546922372013e-05,8.67992609444056e-05,0.00158426680446172,-2.23648023447688e-05,-9.94531758010025e-06,0.000165342392105868,-7.40349534038957e-05
"b_Edc_MoreBachelor_smlr",-0.00343872191646578,-0.000130761585501326,4.02550886130715e-05,-0.000580780955317257,-0.000392091875942619,-0.00608288872364949,-0.00563165381902026,-0.00522861154082305,-0.00392515508033419,-0.00631605022316032,-4.64147437568267e-05,0.0172247517895154,0.000349009213149941,0.000135314242266852,0.000199254260413688,6.15461049354578e-06,-5.56635842653394e-05,-3.86903326632935e-05,-0.000623092380028059,-0.000577184257996235,-0.000520024544432838,-0.000354979448480429,-0.000660448934153218,-1.51399280904285e-05,0.00164056183083089,4.02134243353252e-05,5.61398988958776e-06,8.03051401430378e-07
"b_Gen_NonFemale_smlr",-0.00495624058576602,-0.000397417560472926,-0.000125825084436205,-0.000141069125607403,-0.000132385341500049,-0.00149351148628444,-0.00175809406445687,-0.00143921411015819,-0.00036303197367613,-0.000709207570987669,0.00022189812347027,0.000349009213149941,0.0113186331522337,0.000703628329134695,0.000485709335726707,-2.81696376368096e-05,5.84223637464434e-06,3.1112155118379e-05,-0.000181782989182384,-0.000220144188333124,-0.000206841350565467,-1.86824801852379e-05,-6.90871221037631e-05,4.41286035911668e-06,0.000130035903906044,0.00116279281612769,3.40079046442179e-05,3.22046584712284e-05
