"","asc_smlr","asc_same","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",-80981081.4626559,-79420023.6086157,-14139055.3647877,1561057.00499433,1561057.01082619,1561057.14947744,1561057.12191232,-65280968.8771042,-65280968.7132651,-65280968.7028494,-65280968.8267194
"asc_same",-79420023.6086157,-79568877.2636602,-10476384.8565958,-148854.503193464,-148854.496170004,-148854.373670181,-148854.388498876,-69092493.0406208,-69092492.8766473,-69092492.8674759,-69092492.9901416
"asc_grtr",-14139055.3647877,-10476384.8565958,26397306.9111593,3662669.6577534,3662669.71244075,3662669.73055386,3662669.77777591,-36873692.3895894,-36873692.2293075,-36873692.2296399,-36873692.3499288
"b_City_Midwest_smlr",1561057.00499433,-148854.503193464,3662669.6577534,-1709911.49108159,-1709911.50609932,-1709911.52225074,-1709911.50951432,-3811524.15994333,-3811524.1610926,-3811524.16233693,-3811524.16113268
"b_City_Northeast_smlr",1561057.01082619,-148854.496170004,3662669.71244075,-1709911.50609932,-1709911.49414014,-1709911.52105915,-1709911.50832272,-3811524.20889092,-3811524.20751271,-3811524.21000081,-3811524.20879657
"b_City_South_smlr",1561057.14947744,-148854.373670181,3662669.73055386,-1709911.52225074,-1709911.52105915,-1709911.52398638,-1709911.52447415,-3811524.10450421,-3811524.10436978,-3811524.10429485,-3811524.10440986
"b_City_West_smlr",1561057.12191232,-148854.388498876,3662669.77777591,-1709911.50951432,-1709911.50832272,-1709911.52447415,-1709911.50433085,-3811524.16655495,-3811524.16642052,-3811524.16766485,-3811524.16581041
"b_City_Midwest_grtr",-65280968.8771042,-69092493.0406208,-36873692.3895894,-3811524.15994333,-3811524.20889092,-3811524.10450421,-3811524.16655495,-32218800.6465445,-32218800.6590617,-32218800.649558,-32218800.6519348
"b_City_Northeast_grtr",-65280968.7132651,-69092492.8766473,-36873692.2293075,-3811524.1610926,-3811524.20751271,-3811524.10436978,-3811524.16642052,-32218800.6590617,-32218800.6440251,-32218800.6458663,-32218800.6482431
"b_City_South_grtr",-65280968.7028494,-69092492.8674759,-36873692.2296399,-3811524.16233693,-3811524.21000081,-3811524.10429485,-3811524.16766485,-32218800.649558,-32218800.6458663,-32218800.6245171,-32218800.6387394
"b_City_West_grtr",-65280968.8267194,-69092492.9901416,-36873692.3499288,-3811524.16113268,-3811524.20879657,-3811524.10440986,-3811524.16581041,-32218800.6519348,-32218800.6482431,-32218800.6387394,-32218800.6353377
