"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asc_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_FA1A_grtr",NA,NA,0.132136054201882,-0.00816368412695592,0.0264440597491605,-0.0290655302713678,0.0257052717419535,-0.000583362255861287,-0.0132251345069681,-0.0227277310121383,-0.00232142055599358,-0.000707398389305085,NA,NA,NA,NA,1,-0.169920758355881,0.181942835474094,-0.20050941966157,0.100545926747901,-0.156065018231239,-0.0128937403662368,-0.153149044974569,-0.161936583188605,0.108415015213008,NA,NA,NA,NA
"b_FA2A_grtr",NA,NA,-0.00780469804466396,0.0838416857480535,-0.0291627981547647,-0.019154275986118,0.00677546886564758,-0.0128429948810733,-0.00354842395462184,-0.00302256573266688,-0.0127513622129239,0.000624875837707599,NA,NA,NA,NA,-0.169920758355881,1,-0.316138844591619,-0.33411348194667,0.0910560780663796,-0.0588388255549595,-0.0247199880881468,-0.256779418868543,-0.0285952730418313,-0.113137746915198,NA,NA,NA,NA
"b_FA3A_grtr",NA,NA,0.0241771019171994,-0.0319670795799974,0.0998731021302503,-0.011654465775944,-0.034686996727815,0.0389912255232614,-0.0066688662355903,0.00737789427461418,0.00789584105075137,-0.0113291408836711,NA,NA,NA,NA,0.181942835474094,-0.31613884459162,1,-0.095045830108387,-0.381331441422597,0.287268332503001,-0.0265642272915121,0.0179321197443067,0.136255889218117,-0.172815770144976,NA,NA,NA,NA
"b_FA4A_grtr",NA,NA,-0.0256559182573564,-0.023445275777246,-0.0117077758907377,0.0833507071439574,0.0111893994291554,-0.0112666014296929,-0.00318502234495942,0.0120713908831305,-0.00839150620693335,0.0167584366993474,NA,NA,NA,NA,-0.200509419661569,-0.33411348194667,-0.0950458301083871,1,0.040355358055188,-0.166829793009064,-0.117607379532328,0.053689584582374,-0.000499054171243907,0.0387615578632069,NA,NA,NA,NA
"b_FA5A_grtr",NA,NA,0.024946227513208,0.00907341724632241,-0.0375801405693376,0.00926149404096625,0.121387601274754,-0.0122373891897309,0.0154106864012119,-0.00213807125740973,-0.0103344828047173,-0.00653921655119765,NA,NA,NA,NA,0.100545926747901,0.0910560780663803,-0.381331441422596,0.0403553580551854,1,-0.154639673042954,0.138410055444417,-0.0430291625151397,-0.139710606482266,-0.0750738851083715,NA,NA,NA,NA
"b_FA6A_grtr",NA,NA,-0.00569300197028331,-0.0159379916934,0.0385581849804349,-0.00623839782358909,-0.0125220839006633,0.127064108738289,-0.00599034200029419,-0.0275410252475892,-0.00333668504786926,-0.00100692312042738,NA,NA,NA,NA,-0.15606501823124,-0.0588388255549597,0.287268332503002,-0.166829793009064,-0.154639673042957,1,0.0365689728293882,-0.232218287415162,0.0502289667714786,-0.0470697964058136,NA,NA,NA,NA
"b_FA1H_grtr",NA,NA,-0.00909060297022258,-0.00285526315565296,-0.00411545297065042,-0.00235538690056026,0.0179298272713383,-0.00372104381522843,0.0971735611450668,-0.0407957518794359,-0.0130873988441783,0.00805336940973425,NA,NA,NA,NA,-0.0128937403662399,-0.0247199880881478,-0.0265642272915114,-0.117607379532326,0.138410055444412,0.0365689728293867,1,-0.476234974615699,-0.0328292617116302,-0.0341693441491701,NA,NA,NA,NA
"b_FA2H_grtr",NA,NA,-0.0208683317298133,-0.00724177282816708,0.00108699762584093,-0.000952352758850383,-0.00033754356669586,-0.0263707378399903,-0.0491299751920276,0.119533093781599,0.0303166001307441,-0.00840700672670607,NA,NA,NA,NA,-0.15314904497457,-0.256779418868542,0.017932119744307,0.0536895845823724,-0.0430291625151395,-0.232218287415161,-0.476234974615695,1,0.133768884355176,-0.145607553434739,NA,NA,NA,NA
"b_FA3H_grtr",NA,NA,-0.00410239385444831,-0.00842129199449975,0.0117765334796478,-0.00969633861830474,-0.0131128629057062,-0.00446704876540151,-0.0100487000257606,0.0321263736117472,0.127124365906761,-0.0342777389021657,NA,NA,NA,NA,-0.161936583188605,-0.0285952730418313,0.136255889218117,-0.000499054171243746,-0.139710606482265,0.0502289667714785,-0.0328292617116317,0.133768884355177,1,-0.33900754518804,NA,NA,NA,NA
"b_FA4H_grtr",NA,NA,0.000839132891646101,-0.00258696800085703,-0.0115428570264956,0.014479083435246,-0.00529896711223797,-0.000552893083888953,0.0057400645698691,-0.0063772609994029,-0.0305592166734441,0.0933721097574084,NA,NA,NA,NA,0.108415015213008,-0.113137746915198,-0.172815770144975,0.038761557863206,-0.0750738851083713,-0.0470697964058123,-0.0341693441491674,-0.145607553434739,-0.339007545188041,1,NA,NA,NA,NA
"b_City_Midwest_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_Northeast_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_South_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_West_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
