"","asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",0.0564600094767528,0.00531953881272945,-0.00640082458379862,-0.00599990733623491,-0.00744582349198681,-0.0309009433239589,-0.0295287111611818,-0.0286189487195714,-0.00713049347777445,-0.00787288874343027,-0.00580124007638904,-0.00437562711409109,-0.00673311113786064,-0.00991934066058582,-0.00748763039103305,-0.000768652202331326,-0.00036727142658481,-0.000550841043983716,-0.00325862086751048,-0.00326645241748869,-0.00326196620563592,-0.000968875088783948,-0.000821317156951525,-0.000799652918741927,-7.09068832043799e-05,-0.000177354481770394,-0.00087280037705555,-0.000969819765872549
"asc_grtr",0.00531953881272945,0.0348796069258194,-0.000612888440017627,-0.000440444267114006,-0.000618783794324396,-0.00293001946671164,-0.00291547261261489,-0.00280094544717978,-0.00101377141610252,-0.000878315502534227,-0.00076220376652147,-0.000245190210566312,-0.000500670860800152,-0.000868558098016135,-0.00088590286952253,-0.00493707226148476,-0.00481968840136714,-0.00423259993952169,-0.014832072157202,-0.0138869834870585,-0.0127940430389844,-0.00778597274681424,-0.00754825214319143,-0.00617931208012228,-0.00144501018951369,-0.00631735736900487,-0.00660298442239196,-0.00621995499474542
"b_City_Midwest_smlr",-0.00640082458379859,-0.000612888440017624,0.0243710638890481,0.00778339751239912,0.00701886925372839,-0.000951065169646166,-0.00121045230334333,-0.000875025198599299,-0.000592385999052035,0.00161375189722109,0.000950854453603098,-0.000684240322662428,0.00111504530100665,-0.0022468236785254,0.000705878161064707,0.00204826401162774,0.000795604445661323,0.000792528468422044,-0.000116253583273378,7.06753333435077e-06,2.47751236531581e-05,-0.000149319600097419,-6.64340926740676e-06,6.50432694016216e-05,2.78711885371918e-05,-0.000122929127937436,-3.46428663008634e-05,8.35371533974944e-05
"b_City_South_smlr",-0.00599990733623487,-0.000440444267114004,0.00778339751239912,0.0211133549492529,0.00724045166725132,0.000487075030282816,0.000256836512618517,0.000705669967418563,-0.00114586127267293,-0.000378547433893284,0.000242510190300181,-0.000572783908714737,0.000645371735901001,-0.00211002466443855,-0.000647627847450689,0.000780368326606257,0.00228523213405015,0.000812395527711074,-0.000232432905005554,-0.000146365234286358,-0.000183349326045622,-0.000128046907800553,-0.000159710561011002,2.47383775448714e-05,4.02406126919308e-05,-4.86450374560344e-05,-7.02800901773528e-05,-6.23609782758161e-05
"b_City_Northeast_smlr",-0.00744582349198678,-0.000618783794324394,0.00701886925372839,0.00724045166725132,0.0190046948719555,0.00042291734277571,0.000501377277680872,-0.000187590053071646,-0.00144960724215714,-0.00164421470904603,-0.00189325876887992,-7.21294049415888e-05,0.000921418746574397,0.0018803450611942,-0.000665246373412842,0.000779666178054504,0.000801924524236519,0.00232484179388828,-7.54826856773399e-05,-4.38571279351703e-05,-0.000183407048649116,-1.04442973344437e-05,-9.3219084517193e-05,-7.63312086463464e-05,-9.90098668266885e-05,-1.16662082507265e-05,9.08211388677178e-05,-0.000103962032536889
"b_Age_Millenials_smlr",-0.0309009433239588,-0.00293001946671164,-0.000951065169646168,0.000487075030282816,0.000422917342775705,0.0403814448391296,0.0329158196209436,0.0324581203788947,-0.00229303633293481,-0.000680426291722861,0.000650143661457493,-0.00448874904101122,-0.000151591645410787,0.0032916458581696,0.00132665677264672,-8.55010209514068e-05,-0.000373136841004303,-0.000192178751516436,0.00464463010049782,0.00383254024767262,0.00377669554289181,-0.000140545788639526,-0.000138163030728313,0.000167629688761932,-0.000807065855699787,-0.0003674505056298,8.58227691967886e-05,0.000224949876188015
"b_Age_GenX_smlr",-0.0295287111611817,-0.00291547261261489,-0.00121045230334332,0.000256836512618526,0.000501377277680882,0.0329158196209437,0.0415522297907081,0.0325761191120083,-0.00151447086212296,-0.00292972998673685,-4.79999570271068e-05,-0.00444720863606915,-0.000170399615295298,0.00284605465393778,0.000926498475631339,6.31456693233122e-05,-0.000295478553277704,-0.000177564053421925,0.00382781378013056,0.00471444199191006,0.00385572622414834,-0.000142822794001807,-0.000304676645425679,0.000178492779928048,-0.000783276480561878,-0.000440560798344485,5.83546318828585e-05,0.000299620283018034
"b_Age_Older_smlr",-0.0286189487195713,-0.00280094544717977,-0.000875025198599295,0.000705669967418569,-0.00018759005307164,0.0324581203788946,0.0325761191120082,0.0463647622414774,-0.00189062792670187,-0.00131879922822995,0.000271280365947384,-0.00405428855890728,-0.000977071878985806,0.000630606746703226,0.001833964993279,7.76735556746362e-05,-0.000285089212103201,-0.000312086024262324,0.0037890437066287,0.00384955766493024,0.00533614393235817,-0.000151175582176472,-0.000170328846854651,0.00015678067325943,-0.000754820215036687,-0.000482518657496006,-0.000151363050896397,0.000343431666088699
"b_Inc_Mid_smlr",-0.00713049347777439,-0.00101377141610252,-0.000592385999052036,-0.00114586127267293,-0.00144960724215713,-0.00229303633293479,-0.00151447086212297,-0.00189062792670188,0.0215914983210188,0.0133413121378719,0.00038423047294891,-0.00353074660938941,-0.000294491963191391,-0.000942443133947102,-3.66382699907515e-05,-0.000183852349287939,-0.000109208064554466,4.97028846147179e-05,-0.000179766759983256,-0.000205938372044897,-0.000195042011540568,0.00235973777121262,0.00143886411851196,0.000117181237033194,-0.000268510852461913,0.000122304189069767,-8.11998952406106e-05,-3.59307368614e-05
"b_Inc_High_smlr",-0.0078728887434302,-0.000878315502534226,0.00161375189722109,-0.000378547433893283,-0.00164421470904602,-0.000680426291722843,-0.00292972998673684,-0.00131879922822996,0.0133413121378719,0.0212176949706093,0.000971253794621207,-0.00564418113341962,-0.000169135559496399,-0.00158023115840886,0.00240216394118274,-5.37501023252994e-05,-0.000147191786688012,-8.68984395233043e-05,-0.000105455269727914,-0.000287990022430659,-0.000218381941939313,0.00144175096995432,0.00233160411153329,0.000149129614077742,-0.000665643233360531,5.4130298883588e-06,-8.33323753977181e-05,0.000213475226035995
