"b_asc_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Hel_smlr","b_Rem_smlr","b_Vdc_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonMale_smlr","b_Chl_Yes_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_biz_all_same_smlr","b_biz_all_more_smlr","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Rem_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr","b_biz_all_same_grtr","b_biz_all_more_grtr","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1883.02146277714
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1883.02146277714
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1883.02146277714
0.0328533333231462,0.0023466666607419,0.0105600000097184,0.0105600000097184,0.00287999995634891,0.00842666668177117,0.00874666664458346,0.00757333327783272,0.0173866666591493,0.0698666666721693,0.00138666669954546,0.0275200000032783,0.0232533333473839,0.0321066666947445,0.00864000001456589,0.0268800000048941,0.0154666666639969,0.0206933332810877,-0.00255999999353662,-0.0276266666332958,-0.00181333329237532,-0.00319999999192078,-0.00736000001779758,-0.00287999995634891,-0.00309333328914363,-0.00981333330855705,-0.00842666660901159,-0.0120533332665218,-0.0395733333425596,0.000426666738349013,-0.00864000001456589,-0.0129066665977007,-0.0347733333182987,0.00767999998060987,-0.0281599999289028,-0.0165333332552109,-0.0324266666575568,0.0102399999741465,-1854.04433131121
0.0233811276651797,-0.0156017998738618,0.0252450993051766,0.0276385216852617,0.00289582184531713,-0.0276309483297869,0.0271895497113397,-0.0104819247778613,0.00738926037129645,0.163893130856114,-0.0884906851082207,0.0192696925874367,0.000440927294932347,0.12222892336953,-0.042907420896951,0.0651235449030291,0.0466749378303412,0.0547818172781682,-0.059920393493775,-0.0244857799550146,0.0137347283323931,0.0182237289429407,-0.0135940319101606,-0.00571586580242416,0.0493334473626732,-0.0407819315132522,-0.00722142313916902,0.00894566894705568,-0.0111344443324403,0.0834046814194115,0.0775983326432219,0.0428405526865886,-0.160027523820535,0.139216301134214,-0.0963989803583686,-0.0656472929626052,-0.15448115918951,0.106357424709568,-1809.17822979956
-0.0398769203098116,-0.0439631755324441,0.0305135098195523,0.0354743046467792,-0.00711872903642438,-0.0668613038971161,0.0174157533808896,-0.0416762112897004,-0.0354689294803047,0.130758547501444,-0.173355459400087,0.0434140630584175,-0.0566133141679209,0.152928393946725,-0.0764728502188768,0.048595743869544,0.0587567884166613,0.0278506161810134,-0.0902836099986754,-0.0933242921909067,0.0218426079068623,0.029965809609779,-0.036407959239143,-0.0076927286712014,0.0575941207091501,-0.0662021378897613,-0.0344049506250172,-0.00490763814983567,-0.0328652101363337,0.10354112437933,0.0236249392508973,0.0440316897070564,-0.293695656212536,0.209340889564647,-0.184462303323823,-0.135759953849196,-0.286808091040699,0.15578494333027,-1791.98683007932
-0.0446102282303411,-0.0567852902368871,0.0448415105876444,0.0486061938988068,-0.0150452124727705,-0.061010905602919,0.00206820846605645,-0.0482368348722983,-0.0449238279279591,0.130226381880314,-0.177470070007706,0.0925106094522453,-0.058077118872228,0.156499735869387,-0.0425134672692917,0.0398812623964393,0.069859719494365,-0.00399694422783001,-0.0706422958630768,-0.10727732025012,0.034473608923287,0.0487929130568286,-0.0435378912989258,5.04674746411773e-05,0.0640942014566618,-0.0638903577418301,-0.0453134351153053,0.00356440694147266,0.0298478646594497,0.103986069846897,-0.00949045883914972,0.0677570856328446,-0.334732284393331,0.244106752799396,-0.199664300070694,-0.165272545255305,-0.33592170959098,0.164599776066929,-1785.57232010652
-0.0588288285572206,-0.115149597321655,0.137613141764316,0.108716962248653,-0.0684031535196967,-0.021758443507444,-0.077981888582977,-0.0965846257591871,-0.0736407999679698,0.187059892523965,-0.135114048066781,-0.0559240212019316,-0.03895454062968,0.102193337041497,0.183852911332709,-0.0233995115272136,0.0805978017307444,-0.2031105433863,0.06286332829054,-0.239857567052065,0.100772053151023,0.14008426077889,-0.0814848499347853,0.0637318158693978,0.0695633508278244,-0.0445875553616513,-0.10410480927206,-0.00793855865818181,0.166378424159424,0.0266777757243377,0.0404287763574934,0.145995911216216,-0.485600569427962,0.357703766650855,-0.248141645877204,-0.288512724709113,-0.56730383057251,0.152733495609537,-1780.72671332238
