"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr"
"b_Ngh_NonUrban_same",-0.330948901230686,-0.0628537597686941,-0.0494524713789551,0.0554737744423873,-0.0367686039817279,0.0906854446811019,-0.0856063049592435,0.00435905094694948,-0.0143119036831618,0.100287007732786,0.0179551255297651,0.0265324717042661,-0.0597949569652997,0.0654921319760903,1,-0.138386478140933,-0.0564311444263507,-0.0268997822686025,0.0201677599072087,-0.0488518038468949,0.0477930353123718,-0.0371277892612432,-0.0093139293054485,-0.00799705950716863,0.0279223692220443,0.00781941540442975,0.00266518530883271,-0.00201295754262935,0.0359731338283671,0.435402317308208
"b_asc_grtr",0.433333898841063,-0.0869879975672898,-0.0952561160604579,-0.0970943276678227,-0.112521500471214,-0.168247385360197,-0.122679837772536,-0.180128410321058,-0.174826623694138,-0.134186557164549,-0.012789562718534,-0.139650226621623,-0.119618601077915,-0.122507423646651,-0.138386478140934,1,-0.193153045885823,-0.227171201004416,-0.258917190442453,-0.371240386303877,-0.437329229338859,-0.257110018507654,-0.33936031840081,-0.331389149508331,-0.290798001122373,-0.0681409366466097,-0.324980092032358,-0.17935307829067,-0.305310192775977,-0.304275405739205
"b_City_Midwest_grtr",-0.0710681299381665,0.457636459760811,0.141905645463992,0.130753270115575,-0.0238634680030802,-0.000761617161751316,0.0100379924215655,0.0459319895801991,0.0391003892234261,-0.0162934579764631,0.0184585559616087,-0.0258985735443389,-0.0310757548707439,0.0185065144097466,-0.0564311444263501,-0.193153045885823,1,0.337303903348559,0.308986140885395,-0.0336575204591248,-0.040459892067243,0.0248663289518877,0.0335271928714549,-0.0174192023145015,0.0192969779180376,-0.0547507528996737,-0.00985556800217972,-0.0240610364630291,0.0843449070053757,-0.0630066952620267
"b_City_South_grtr",-0.0915522635839015,0.149766682649594,0.423558723798859,0.156507971756895,-0.0124750519361493,-0.0191831674606943,-0.00185474226448122,0.032859374234874,0.0159139053690665,-0.0115372715788558,0.00580833635079363,0.00386049813498776,-0.00163389028820939,-0.00810816166537396,-0.0268997822686022,-0.227171201004416,0.337303903348559,1,0.376664301528535,-0.00107944824103025,-0.0245850435552013,-0.0194772125037591,0.03551020830345,-0.0346125654597431,-0.0194773181446556,0.0295828072025143,-0.0182219926962047,-0.061099206816197,0.0518916275381082,-0.0182687973631952
"b_City_Northeast_grtr",-0.091531649964192,0.133601232928054,0.150879050077736,0.396175873014475,-0.0430378428892218,-0.0158365179628736,-0.0198909581056235,0.00110784218299533,-0.00656599335105632,-0.00377980966908133,-0.00439770228273832,0.0230573122307399,0.0103772125213039,-0.00839517083409809,0.0201677599072095,-0.258917190442454,0.308986140885396,0.376664301528535,1,0.0132668433081622,0.00469420902623193,-0.046947375630658,0.0266360700553721,0.03683714654921,-0.0469160734422401,-0.00846711515097451,-0.0143465080069329,-0.00566186019855161,0.00772171338284004,0.102344460611158
"b_Age_GenZ_grtr",-0.109487008804592,-0.0270963070736535,-0.0106104100646899,-0.045046271495138,0.531165134058186,0.130013229460186,0.123018746330635,-0.0206656800889061,-0.0133590506064262,0.0213780098544552,-0.0153179258647243,0.116295501335613,-0.00108747314645138,0.0392548167442854,-0.048851803846894,-0.371240386303879,-0.0336575204591247,-0.00107944824102961,0.0132668433081623,1,0.370466267478739,0.229608525916646,0.0140117706921586,0.0695363535964308,0.0370523608492415,0.0750516528770734,0.246645267185042,-0.0839279510579222,0.0881504238512126,-0.084755210005127
"b_Age_Millenials_grtr",-0.161377980766615,-0.00318088790887474,-0.0176900756758644,-0.01625433989781,0.122023776802886,0.421722936492516,0.175095292693227,0.0106297411864785,0.0493849319149202,0.0162718600120791,0.0015045379900925,0.00165189186140311,-0.00862975672869579,0.0308229505966029,0.0477930353123725,-0.437329229338861,-0.0404598920672426,-0.0245850435552007,0.00469420902623203,0.370466267478739,1,0.351390991528071,0.00412396283401703,0.117720105416814,0.0385897741161447,0.000480403198801378,0.0479387026851514,-0.0325169140491256,0.0681997478150203,0.0955068852202007
"b_Age_Older_grtr",-0.0902381752598349,0.0111700477305118,-0.00638360645668136,-0.0199842142050143,0.0887143893811292,0.139815232557055,0.308509271033172,-0.00500495863916371,0.00367747925265301,-0.0173213871371126,0.0211451554175779,0.013668665912443,0.014417764079311,0.0906429731359388,-0.0371277892612431,-0.257110018507656,0.0248663289518879,-0.0194772125037588,-0.0469473756306581,0.229608525916646,0.351390991528071,1,0.00503211427760193,-0.0344588010148388,0.0188276502914629,-0.0316924677951213,0.0396413503772937,0.0212049576182727,0.22141000049948,-0.071701415465189
"b_Inc_Mid_grtr",-0.182772237542933,0.0459239904866021,0.0352977320553966,-0.00340862606243448,-0.00203017329985201,0.0143763305200416,-0.00223240645992067,0.495790592812056,0.368286216482175,-0.00439349203468671,-0.00952416777754975,-0.16552130406186,0.0458178608915254,-0.0417017712236455,-0.00931392930544742,-0.339360318400811,0.0335271928714551,0.0355102083034503,0.0266360700553721,0.0140117706921586,0.00412396283401775,0.00503211427760202,1,0.714067878131317,-0.0352859447402761,-0.0455168389443709,-0.277657454419258,0.0383999970034458,-0.135118638221337,0.043496628350667
"b_Inc_High_grtr",-0.170153825446655,0.036173968035209,0.0141061540953679,-0.0125509940128552,-0.00291140903157937,0.0550330435294587,0.00662684538979436,0.360395970849397,0.451780590284821,-0.0245281929107889,-0.00470867854158787,-0.202075642726081,0.0360883271562298,-0.0389799044332396,-0.00799705950716746,-0.331389149508331,-0.0174192023145012,-0.0346125654597433,0.0368371465492101,0.0695363535964302,0.117720105416814,-0.0344588010148394,0.714067878131317,1,-0.0475404756870512,-0.0682213906822624,-0.380111107377115,0.051818747511919,-0.14401711394308,0.0316196278256763
