"b_asc_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Hel_smlr","b_Rem_smlr","b_Vdc_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonMale_smlr","b_Chl_Yes_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Rem_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1883.02146277714
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1883.02146277714
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1883.02146277714
0.0328533333231462,0.0023466666607419,0.0105600000097184,0.0105600000097184,0.00287999995634891,0.00842666668177117,0.00874666664458346,0.00757333327783272,0.0173866666591493,0.0698666666721693,0.00138666669954546,0.0275200000032783,0.0232533333473839,0.0321066666947445,0.00864000001456589,0.0268800000048941,0.0154666666639969,-0.0276266666332958,-0.00181333329237532,-0.00319999999192078,-0.00736000001779758,-0.00287999995634891,-0.00309333328914363,-0.00981333330855705,-0.00842666660901159,-0.0120533332665218,-0.0395733333425596,0.000426666738349013,-0.00864000001456589,-0.0129066665977007,-0.0347733333182987,0.00767999998060987,-0.0281599999289028,-0.0165333332552109,-1856.8716993403
0.0268948888070879,-0.0143784177428799,0.0252974903768165,0.027607005698665,0.00319198390753873,-0.025296190578685,0.0271912438510719,-0.00870667390226006,0.00954888062539441,0.16412261725042,-0.0844730588554227,0.0198239315282296,0.00344034426604105,0.121135274042432,-0.0403920257569189,0.0662412055031723,0.0463878565296539,-0.0286021518665735,0.0124651821115122,0.0167732951177172,-0.014110674068186,-0.0059473322065411,0.0461152261467206,-0.0405176561866066,-0.00866677633446781,0.00591432441463627,-0.0167650337157395,0.0793418414509861,0.0737568905585733,0.0380649133229768,-0.15813637913181,0.13363339360475,-0.0970031949836733,-0.0649745031885859,-1822.83459226658
-0.0362808274857021,-0.0438409250146406,0.0309384935806173,0.0370055109035493,-0.00826981799357587,-0.070564575826437,0.0221908490038951,-0.0415146335769483,-0.0297281666898412,0.144210784636169,-0.189357692840884,0.0336523300451828,-0.054241249346526,0.167186796159368,-0.0869348683062774,0.0604298567596991,0.0606234641888844,-0.104450243123216,0.020255977366012,0.0308455507226255,-0.0384895056637522,-0.00716594512144024,0.060008289255495,-0.0735133944126557,-0.0379883649759295,-0.0140517344521376,-0.047442276557423,0.117453574250372,0.0364653557054697,0.0387595634051341,-0.314895849997176,0.22369867559781,-0.204068507371325,-0.141037539791009,-1805.94215186496
-0.0420387814830374,-0.055199054407819,0.0422460161808652,0.0483212622955623,-0.0188310095130131,-0.0648719510094435,0.00726372161499064,-0.0465511046351655,-0.0348015155110946,0.137676719281404,-0.199987439592243,0.0777846897719757,-0.0537124888406362,0.168084473658725,-0.0569653056708352,0.0536141636441607,0.0675321581981726,-0.123858662164569,0.0301505856175172,0.0498905833336108,-0.0453606934075007,0.00289350902075415,0.0641693698153904,-0.0730648198292665,-0.0517806953053688,-0.014676132983661,0.00714215966901706,0.125096676116775,0.00688591104002546,0.0543878306179688,-0.356721383178414,0.258354552014705,-0.226197501593775,-0.1670274089043,-1801.35080266425
-0.0625556306018831,-0.107844415766591,0.117013675372544,0.0995002067275484,-0.0837873996105299,-0.0208716575142986,-0.0798506510743142,-0.0742140336395683,-0.0536699288845266,0.15672635749687,-0.177108869151328,-0.0264688777271551,-0.0334101135627429,0.0942467116647984,0.160644698037805,-0.0120011286590642,0.0654235235775649,-0.278129667911924,0.0824272440208638,0.147767458114168,-0.0795346731417183,0.0773073805689323,0.058652581820294,-0.05793275772929,-0.137702686629536,-0.0607380993625971,0.13393040710953,0.0880509622419824,0.0445598033044248,0.10495819842628,-0.510738717926929,0.376020452093018,-0.306784309408273,-0.274259702235087,-1796.01287226072
-0.11637877762172,-0.128182997452985,0.177970296935025,0.108871418228035,-0.144119066259036,-0.038633548262872,-0.125028077442847,-0.133532907533331,-0.0672412936548211,0.241038071098964,-0.1905439857822,-0.0270076880135765,-0.025958155426669,-0.00947580519430841,0.283889849454619,-0.0779816198859207,0.00938399534954212,-0.354135514210929,0.133658440950962,0.247387352824628,-0.0683668043204939,0.17468146310037,0.107702963798588,-0.036509556187892,-0.169811885035728,-0.1105238719387,0.0978795648956892,0.103854039664971,0.0163430518422373,0.187219509962023,-0.54054016235225,0.503116864079956,-0.286051109288416,-0.289920617140645,-1792.61122737202
-0.115994887638057,-0.0967120034454228,0.228143039604968,0.0960645508785772,-0.155990556177435,-0.0559340485949185,-0.117561683625077,-0.150244757258526,-0.0916510367716572,0.21158969777281,-0.175979117411185,-0.0260741061357162,-7.24806095078745e-06,-0.01436564911317,0.305418391804034,-0.0334870648398507,-0.00699142296433468,-0.427026501838463,0.152660884060424,0.304273914779099,-0.0318057503793451,0.245727270451492,0.13998240163221,-0.0163180186583382,-0.203116002391164,-0.150422097627353,0.0844519253687456,0.0948264062624393,0.0154565299977823,0.234656354896574,-0.533728841831422,0.574569601562008,-0.278406908387804,-0.28385927776432,-1790.27884867725
