"b_asc_same","b_asc_grtr","logLike"
0,0,-1883.02146277714
0,0,-1883.02146277714
0,0,-1883.02146277714
0.186666666922974,-0.280533332625055,-1843.02994938188
-0.0253573175075465,-0.481113447631914,-1841.12973346392
0.0872128047606147,-0.456237250384212,-1838.76780277496
0.0883191316207746,-0.463599901019647,-1838.75668624344
0.0880725732101964,-0.464301851068921,-1838.75662559114
0.0880656392225901,-0.464306484034931,-1838.75662559051
