"","b_asc_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Hel_smlr","b_Rem_smlr","b_Vdc_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonMale_smlr","b_Chl_Yes_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Rem_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"b_Inc_High_smlr",-0.457862238918134,0.0934786761239015,0.04662147099365,0.0549754500761971,0.104291393634861,0.0849642920968553,0.0139768094041248,0.726310265298487,1,-0.0160282762773385,0.117947695651427,-0.064528569405061,-0.331863352497543,0.0570091165091201,-0.0888386561013171,-0.0151192871871002,0.18017120887675,-0.227256041382229,0.0529967635818504,0.00460415028775398,0.0284270855971688,0.062003733985445,0.0150099473067715,-0.00233105046733385,0.376193598837215,0.508959864455423,-0.0183572598822202,0.0541888870842329,-0.031634082393921,-0.160982965989825,0.0234808650609793,-0.0477471210071313,-0.010431176450745,0.107407000874526
"b_Hel_smlr",-0.322980690974467,0.0441867191690447,0.01523104559788,-0.0386720599747683,0.0267697166310246,0.0210133143411562,-0.0329135552103162,-0.0364151278204877,-0.0160282762773371,1,0.0690587065947197,-0.100657980218641,-0.00744859717536909,-0.0922991998329408,-0.0508232279137206,0.0756106181948496,0.0433071982776294,-0.087773808616295,-0.0107376371545733,0.00686617860198104,-0.0187583926708003,0.0176016607378829,0.015090943950355,-0.0157733400063397,-0.0140456986913929,-0.0120489849130471,0.380678248518249,0.0464669144557145,-0.0490752599722197,-0.00746569563281899,-0.0336434807568634,-0.00410703145782438,0.0329807276934493,-0.0322964277725827
"b_Rem_smlr",-0.337270370998211,0.059135381369865,0.0387010811470001,0.0576664398076438,-0.0291796827311033,-0.0274295192948379,0.0157606345771485,0.0178027469885262,0.117947695651427,0.0690587065947189,1,0.0480551473634688,0.0753067952537149,0.11200168209521,-0.132844839436487,0.0529777322193035,-0.0007700989056246,-0.186116076791111,0.0401390698934347,0.0340367350722283,0.0250907302815073,0.00163495041705334,-0.00531856956645634,-0.0026273778164011,-0.00304348539915368,0.0485185683890758,0.0653648833298467,0.487392957506459,0.018435817137329,0.0216253845066546,0.0703145253524815,-0.0425858840862652,0.058972291115459,-0.00445433616755011
"b_Vdc_smlr",-0.0458660229167049,-0.0258829379728099,0.0204266483426653,-0.0112839352475762,0.0362430539480501,-0.0225244679661003,0.0312546992410875,-0.0480503173015819,-0.0645285694050607,-0.100657980218641,0.0480551473634689,1,-0.0434456642371842,0.0333433526953058,-0.119734766991922,0.0401265445012704,-0.00745749206141888,-0.00485759728731458,-0.0191522640693097,0.0110883174363709,-0.0208772682321115,0.0274408277571885,-0.00678014146755451,0.00293021036779242,-0.0335295390407051,-0.0341273895542742,-0.0570958224960763,0.0158394021467404,0.430030168240468,-0.0235343779021214,0.0118574149126627,-0.05944095615871,0.0113978269869248,0.0085699065338972
"b_Edc_MoreBachelor_smlr",-0.26384126232571,-0.0359948254071644,-0.0419309793267056,-0.0827908473767983,0.240652827668118,0.00959446385905331,0.0138465403888268,-0.214172002322569,-0.331863352497542,-0.00744859717537217,0.0753067952537133,-0.0434456642371837,1,-0.0173491762056027,-0.00416205965268192,0.0357768114549273,0.0399701871296545,-0.136978800753362,-0.0373391061935717,-0.0141818303264156,-0.0552100906581467,0.130113915758092,0.0290189107687263,-0.00270105506955486,-0.101840416151533,-0.166202093641439,0.00641471280365438,0.0199086642293185,-0.0234814144805123,0.462655192815618,0.000420851745391595,-0.0099886182117225,0.0425819787078051,0.0269305361200061
"b_Gen_NonMale_smlr",-0.222148885677234,0.0373272702253834,-0.0291909287615761,0.0170324477122316,-0.0906482645148231,-0.0308310198499727,-0.000579031753632835,0.0376664056705808,0.0570091165091204,-0.0922991998329411,0.112001682095211,0.0333433526953059,-0.0173491762056013,1,0.092950033579292,-0.0683848757284179,-0.0526944272749765,-0.100829988471903,0.017342730131273,-0.0360278924823954,-0.0133095544954058,-0.0532190749097892,-0.0226097434814565,-0.00296249767290206,0.013912139226841,0.026429932023874,-0.0566244538585299,0.0760973925125305,0.00844974190104802,9.05285302309428e-05,0.49037801991016,0.0363784045017705,-0.0413965151324611,-0.024632058403302
"b_Chl_Yes_smlr",-0.176935897020528,0.00745932388596989,0.0253310147917396,-0.0362789162105388,0.0708263817539611,0.0825682460012381,0.266575431598129,-0.0924571419916268,-0.0888386561013164,-0.0508232279137213,-0.132844839436488,-0.119734766991922,-0.00416205965268225,0.0929500335792915,1,0.0507490644723902,0.0294759477134245,-0.106733638181761,0.01153883087342,0.0583285777727895,0.0384195085422128,0.00954085291285757,0.0334921749649375,0.127210060294474,-0.0584907894159534,-0.0508879534953294,0.0129757738805247,-0.0506060757631436,-0.0546100577039598,-0.00957539734049906,0.0424507008803119,0.492459631764646,0.049288059015159,0.0483121162353932
"b_Ngh_NonUrban_smlr",-0.333837666921848,-0.0537915979488212,-0.0662673282526623,0.074256665979498,-0.0603590546434861,0.0891547550142667,-0.0755471916906588,0.0188442293676961,-0.0151192871871001,0.0756106181948482,0.0529777322193041,0.0401265445012705,0.0357768114549286,-0.0683848757284179,0.0507490644723905,1,0.0541516806600386,-0.183375021562215,-0.0473122304183001,-0.0497497415951146,0.042096773614916,-0.0268011800776889,0.0755726067511425,-0.0177284084679807,0.0214665056739254,-0.00735699423960993,0.0279275345314632,0.0566482865266239,0.00818690520660455,0.0385832160498979,-0.038551838553955,0.0442206530193826,0.51853593923291,0.0162136208812282
"b_Rac_Other_smlr",-0.259535048423227,0.0127819760190878,-0.048725719429257,-0.0380010999897327,-0.123281264660024,-0.0269508212933331,0.0643738257174138,0.0815164034272712,0.18017120887675,0.0433071982776289,-0.000770098905624578,-0.00745749206141871,0.0399701871296558,-0.0526944272749764,0.0294759477134253,0.0541516806600387,1,-0.126811351555109,0.0244962461242772,-0.0387703534676762,-0.0206530580713974,-0.0314865321548251,-0.0105441930194713,0.0499526282081742,0.0570692851130643,0.109201713304108,-0.0450574000691688,-0.00193065095059132,0.00598151049759944,0.0212828975613262,-0.0225596539722025,0.0394256268967413,0.0157510141659661,0.500802309546902
"b_asc_grtr",0.474870156767798,-0.085834266685418,-0.0804423160807957,-0.0998520603540699,-0.171771461073328,-0.172840440682802,-0.128439667340204,-0.21147938347043,-0.227256041382232,-0.0877738086162948,-0.186116076791112,-0.00485759728731534,-0.136978800753363,-0.100829988471903,-0.106733638181761,-0.183375021562215,-0.12681135155511,1,-0.204672347543809,-0.191369803645245,-0.261657671892203,-0.362120714556464,-0.360101383455763,-0.255860437735006,-0.377278978325034,-0.384738163007826,-0.278878921396651,-0.386632658033923,-0.0193453256005593,-0.341818917928076,-0.187116366386845,-0.226539291981816,-0.329665814097879,-0.168418100796413
