"","asc","b_City_Midwest","b_City_South","b_City_Northeast","b_Age_GenZ","b_Age_Millenials","b_Age_Older","b_Inc_Mid","b_Inc_High","b_Hel","b_Vdc","b_Edc_MoreBachelor","b_Gen_NonMale","b_Chl_Yes","b_Ngh_NonUrban","tau_fewer","tau_same"
"asc",-79905641.7836225,-0.0315390274807961,-0.110764825468465,-0.0841121590908068,0.0429332767573868,-0.0342665481505414,-0.0691248784485729,-0.0228200633762504,-0.0143372867050535,0.0202487907255336,-0.000161933078988319,-0.0292134440063413,-0.469689945581274,-0.0859973024475393,0.013159981631349,-79905642.1131132,-79905642.1104371
"b_City_Midwest",-0.0315390274807961,0.0141484672374969,0.00382260682215263,0.00375052765785034,-0.000477109688086752,2.01468213480713e-05,0.000270844556055137,0.000587670669117423,0.00057059467627781,0.000113025886613612,-5.95037507291593e-05,-0.000307900934896313,9.77434172049368e-05,0.000255855182953888,-0.000470651767173247,-0.0274324664115368,-0.0275102778431966
"b_City_South",-0.110764825468465,0.00382260682215263,0.0115550073269706,0.00386796104247282,-3.54474861311584e-05,0.000183496321531172,-7.16036216987743e-05,0.000538302354789252,2.6348616097871e-05,-0.000112476437156284,2.65943029469718e-05,-0.000420352482329203,-4.27696206173612e-05,-5.73864304737359e-05,1.68573360566291e-05,-0.107134194323677,-0.107152639567451
"b_City_Northeast",-0.0841121590908068,0.00375052765785034,0.00386796104247282,0.012403889915801,-0.000302823991799245,9.46988049797988e-05,-0.00077336692216032,0.000348714609988888,0.00034853380909068,-0.000188283503734774,-1.90377562723134e-05,-0.000394847192570929,7.37050404628738e-05,-0.00026342582916052,0.000905696405323928,-0.0801100013496039,-0.0802577542711665
"b_Age_GenZ",0.0429332767573868,-0.000477109688086752,-3.54474861311584e-05,-0.000302823991799245,0.0262207318959646,0.00563958915195883,0.00566044684751945,0.000973124000337178,0.00216150611268338,0.000289656709613897,9.64887699914471e-05,0.00448690991658048,-0.0010825401117335,0.000714021592941935,-0.000459123035907479,0.0529929187443987,0.0536132604346572
"b_Age_Millenials",-0.0342665481505414,2.01468213480713e-05,0.000183496321531172,9.46988049797988e-05,0.00563958915195883,0.00914854855876802,0.00515755291628453,0.000456607583987869,0.00159648962738774,4.9554572398715e-05,-4.98584442356951e-05,-1.45729212122665e-05,-0.00013739792587419,0.000745445394608871,0.000426599958316404,-0.0275716648924835,-0.0274055177702513
"b_Age_Older",-0.0691248784485729,0.000270844556055137,-7.16036216987743e-05,-0.00077336692216032,0.00566044684751945,0.00515755291628453,0.0179094138449684,0.000258300408315434,-0.000145122412570745,-0.000146918257969604,0.000158276610581939,0.000542773564442541,8.05039739002914e-05,0.00298673876292848,-0.00121354444514644,-0.0628066353110815,-0.062885542043627
"b_Inc_Mid",-0.0228200633762504,0.000587670669117423,0.000538302354789252,0.000348714609988888,0.000973124000337178,0.000456607583987869,0.000258300408315434,0.01607785252987,0.011916619745094,-0.000110592429321673,-0.000232037585987522,-0.00291598187440762,0.000549650774361161,-0.000836108224531131,0.000206963284009114,-0.0132670195278792,-0.0134847901029045
"b_Inc_High",-0.0143372867050535,0.00057059467627781,2.6348616097871e-05,0.00034853380909068,0.00216150611268338,0.00159648962738774,-0.000145122412570745,0.011916619745094,0.0165541999550149,-9.85153293663979e-05,-0.000413794199976139,-0.00454212420220055,0.000460705257160506,-0.00103841871839414,8.15033656301116e-05,-0.00488137819865528,-0.00539144165100416
"b_Hel",0.0202487907255336,0.000113025886613612,-0.000112476437156284,-0.000188283503734774,0.000289656709613897,4.9554572398715e-05,-0.000146918257969604,-0.000110592429321673,-9.85153293663979e-05,0.00193080921259801,-0.000209789645432446,-4.04490917728405e-05,-0.000347810412436061,-4.07114594621648e-05,0.000226533941918888,0.0225357608618672,0.0223683572368242
