"","Mean for City if chosen","Mean for City if not chosen","t-test for difference","Mean for Age if chosen","Mean for Age if not chosen","t-test for difference","Mean for Inc if chosen","Mean for Inc if not chosen","t-test for difference","Mean for Hel if chosen","Mean for Hel if not chosen","t-test for difference","Mean for Edc if chosen","Mean for Edc if not chosen","t-test for difference","Mean for Vdc if chosen","Mean for Vdc if not chosen","t-test for difference","Mean for Chl if chosen","Mean for Chl if not chosen","t-test for difference","Mean for Gen if chosen","Mean for Gen if not chosen","t-test for difference","Mean for Ngh if chosen","Mean for Ngh if not chosen","t-test for difference","Mean for Rac if chosen","Mean for Rac if not chosen","t-test for difference"
"fewer",2.2711,2.1686,-1.8,2.4257,2.3654,-1.12,2.4359,2.2666,-4.81,1.3834,1.265,-2.75,1.8163,1.7085,-5.46,0.6676,0.6437,-0.45,1.4679,1.5083,1.69,1.4257,1.4543,1.21,1.6035,1.5698,-1.43,1.7332,1.7259,-0.34
"same",2.1571,2.2389,1.48,2.3796,2.3925,0.25,2.3613,2.3055,-1.61,1.3416,1.2851,-1.29,1.7448,1.7496,0.23,0.5903,0.6945,2,1.4372,1.532,4.07,1.5039,1.4032,-4.33,1.6348,1.5462,-3.87,1.7369,1.7229,-0.67
"more",2.1886,2.211,0.35,2.3409,2.4014,1.1,2.1023,2.3966,6.96,1.1318,1.3614,4.11,1.6455,1.7786,5.26,0.7364,0.6269,-1.78,1.6318,1.4517,-6.8,1.3682,1.4669,3.73,1.4568,1.62,6.05,1.7068,1.7352,1.15
