"","b_City_Midwest","b_City_South","b_City_Northeast","b_Age_GenZ","b_Age_Millenials","b_Age_Older","b_Inc_Mid","b_Inc_High","b_Hel","b_Vdc","b_Edc_MoreBachelor","b_Gen_NonMale","b_Chl_Yes","b_Ngh_NonUrban","asc","tau_fewer","tau_same"
"b_City_Midwest",0.0159257044236542,0.00447338353716691,0.00425535785574252,-0.000633786239435137,0.000188899734564031,0.000680384406417895,0.00111788714557897,0.000228088820236599,5.97375678862186e-05,1.64606109801175e-05,-0.00045763500283007,-0.00045056018892152,0.000864478880436367,-0.000652996629390324,0.211366478854386,0.215905746581062,0.216043272472563
"b_City_South",0.00447338353717107,0.0133887881552739,0.00450871957540238,-0.000366009978088639,-1.65439399575259e-05,-0.000414775380373276,0.000677973357977408,-0.000238768453827049,-0.000128928034251967,0.000206568899091526,-0.000370864936423423,-0.000443194177763403,0.000111136589632302,0.000362130147176283,0.439037287676776,0.443272576508699,0.443216585229944
"b_City_Northeast",0.00425535785573958,0.00450871957539261,0.0146180760078729,-0.000259406027814685,8.28812300616446e-05,-0.00129193553839082,0.000239876116986278,-0.000152840585336626,-0.000394463047881247,4.36711267875263e-05,8.31871763985379e-05,1.55721550068112e-05,-0.000148015937563322,0.00128961805952657,0.193047929693151,0.197730096496602,0.197576810884728
"b_Age_GenZ",-0.000633786239435555,-0.000366009978090232,-0.000259406027814433,0.0310278011340684,0.00640231313260956,0.00583987733668484,0.0021645512740146,0.00315954555883864,0.000278313233573921,5.01800391296283e-05,0.00598498573744609,-0.000813776340121298,0.000190152895356728,-0.00111237771455269,0.0122173935017258,0.0243125965986302,0.0249678970013977
"b_Age_Millenials",0.000188899734563789,-1.6543939958603e-05,8.28812300619394e-05,0.00640231313260957,0.0108136713899018,0.00558366130351273,0.000836868552305101,0.00257695369525518,0.000110536710217413,-2.44617951344119e-05,5.26876462402715e-05,-0.000272635332445387,0.00047581391845938,0.0009432134822964,0.0217005245269291,0.0300724589635455,0.030108346888628
"b_Age_Older",0.00068038440641845,-0.000414775380373397,-0.00129193553838941,0.00583987733668504,0.00558366130351288,0.0185827439681798,0.000671197042240975,5.76279094121669e-05,-8.79402675663338e-05,8.01834233368641e-05,0.000362777950854828,0.000328884087458766,0.00277356204480329,-0.00122389488189466,0.0448023353304182,0.0513978094020218,0.0512469588133393
"b_Inc_Mid",0.00111788714557871,0.000677973357976387,0.000239876116986967,0.00216455127401466,0.000836868552305141,0.00067119704224087,0.0211740641862133,0.0163515334589973,-0.000296393564257123,-0.000199103842767465,-0.0035695454084002,0.000656197767061653,-0.000778744499926687,0.00044833007601008,0.0383004667897704,0.0522992068497592,0.0522009794043485
"b_Inc_High",0.000228088820236214,-0.000238768453828085,-0.000152840585336213,0.00315954555883868,0.00257695369525522,5.76279094120769e-05,0.0163515334589973,0.0212908332093547,-0.00043981131988707,-0.000353214330073005,-0.00499842132251583,0.000296681306154884,-0.00104615234464451,0.000315627633563403,0.00855409531366257,0.0221329946366567,0.0217641699251044
"b_Hel",5.97375678862947e-05,-0.000128928034251618,-0.000394463047881207,0.000278313233573938,0.000110536710217415,-8.79402675662789e-05,-0.000296393564257106,-0.000439811319887063,0.00240165430671738,-0.000239411392009374,1.42417420240419e-05,-0.000568119786917982,8.05519694928834e-05,0.000116036385669768,-0.00700654933061549,-0.00435910704274657,-0.00445948000307436
"b_Vdc",1.64606109800891e-05,0.000206568899091297,4.36711267875889e-05,5.01800391296412e-05,-2.44617951344044e-05,8.01834233368344e-05,-0.00019910384276746,-0.000353214330072992,-0.000239411392009376,0.00171439019869205,-0.000528148243886986,-0.000167281354110059,-0.000152977982267195,-5.62525071804063e-06,0.0122415348335549,0.0122205085855312,0.0122919395487145
"b_Edc_MoreBachelor",-0.000457635002830113,-0.000370864936423161,8.31871763980874e-05,0.00598498573744603,5.26876462402066e-05,0.0003627779508549,-0.00356954540840021,-0.00499842132251586,1.4241742024057e-05,-0.00052814824388699,0.0131158725108886,0.000298728936363255,0.000610294536806477,-0.000226437428793235,-0.0305922217785366,-0.023948934784642,-0.0242604726836795
"b_Gen_NonMale",-0.000450560188921844,-0.000443194177763575,1.55721550062786e-05,-0.000813776340121383,-0.000272635332445456,0.000328884087458736,0.000656197767061594,0.000296681306154809,-0.000568119786917972,-0.00016728135411007,0.000298728936363274,0.00774193876403935,0.000985427382582521,-4.42340495544255e-05,-0.0363729265001085,-0.0326472247088397,-0.0325209602477059
"b_Chl_Yes",0.000864478880436367,0.000111136589632231,-0.000148015937563241,0.000190152895356747,0.000475813918459385,0.0027735620448033,-0.000778744499926669,-0.00104615234464451,8.05519694928804e-05,-0.000152977982267193,0.000610294536806467,0.000985427382582524,0.00813097768545166,-7.8012798595847e-05,0.00264787421655403,0.00695604394983362,0.00699084650271784
"b_Ngh_NonUrban",-0.000652996629390142,0.000362130147176803,0.00128961805952675,-0.00111237771455267,0.000943213482296411,-0.00122389488189459,0.000448330076010115,0.000315627633563413,0.000116036385669764,-5.62525071803322e-06,-0.000226437428793259,-4.42340495544498e-05,-7.80127985958428e-05,0.0085368982140012,0.00161581695395172,0.00772930125080089,0.00753235388054419
"asc",0.211365949049683,0.439034757776417,0.193048467208984,0.0122174313904337,0.0217005498323891,0.0448019660308043,0.0383003449161965,0.00855407711066444,-0.00700657784790103,0.012241527792749,-0.0305921503994695,-0.0363727918632908,0.00264786072934787,0.0016157699841385,2020.51435717224,2020.6596767365,2020.67220905445
"tau_fewer",0.215904833678309,0.44326924886543,0.197730282906176,0.0243126175221985,0.0300724525502998,0.0513973397186988,0.0522990773423785,0.0221329604068312,-0.00435910463912356,0.0122204864822507,-0.0239487836671412,-0.0326470204763867,0.00695601964123168,0.00772928728714519,1877.42949677321,1877.61392777054,1877.62432977586
"tau_same",0.216043148759045,0.443214863566643,0.19757771137365,0.0249679585358019,0.0301083970176543,0.0512466939351323,0.0522009508882615,0.0217642005665511,-0.00445951112001704,0.0122919471990599,-0.0242605050001659,-0.0325208783106571,0.00699082180088485,0.00753228971787677,2163.91745584478,2164.09975708654,2164.1135860544
